,統計番号Statistical code,統計番号Statistical code,品名Description,関税率Tariff rate,関税率Tariff rate,関税率Tariff rate,関税率Tariff rate,関税率Tariff rate,関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率Tariff rate,単位Unit,単位Unit,他法令Law
221,1605.62,,うに,,,,,,,,,,,,,,,,,,,,,,,,,,
222,,100.0,1 くん製したもの,6.7%,,(10%),6.4%,無税,,無税,,,無税,,,5%,無税,,無税,,無税,無税,5.5%,無税,無税,,,KG,ILFD
223,,900.0,2 その他のもの,12%,,10%,8%,無税,,無税,,,無税,,,5%,無税,,無税,,無税,無税,5.5%,無税,無税,,,KG,ILFD
224,1605.63,,くらげ,,,,,,,,,,,,,,,,,,,,,,,,,,
225,,100.0,1 くん製したもの,6.7%,,(10%),6.4%,無税,無税,無税,無税,,無税,無税,無税,無税,無税,無税,無税,0.7%,0.7%,無税,5.5%,無税,無税,,,KG,ILFD
226,,900.0,2 その他のもの,15%,,10%,8%,無税,無税,無税,無税,,無税,無税,無税,無税,無税,無税,無税,0.7%,0.7%,無税,5.5%,無税,無税,,,KG,ILFD
227,1605.69,,その他のもの,,,,,,,,,,,,,,,,,,,,,,,,,,
228,,400.0,1 くん製したもの,6.7%,,(9.6%～10%),6.4%,無税,うに以外のもの　無税,無税,うに以外のもの　無税,,無税,うに以外のもの　無税,うに以外のもの　無税,うに　5% その他のもの　無税,無税,くらげ　無税,無税,うに以外のもの　0.7%,くらげ　0.7% その他のもの　無税,無税,うに及びくらげ　5.5% その他のもの　5.2%,無税,無税,,,KG,ILFD
229,,,2 その他のもの,,,,,,,,,,,,,,,,,,,,,,,,,,
230,,910.0,(1) うに,12%,,10%,8%,無税,,無税,,,無税,,,5%,無税,,無税,,無税,無税,5.5%,無税,無税,,,KG,ILFD
231,,920.0,(2) くらげ,15%,,10%,8%,無税,無税,無税,無税,,無税,無税,無税,無税,無税,無税,無税,0.7%,0.7%,無税,5.5%,無税,無税,,,KG,ILFD
232,,990.0,(3) その他のもの,9.6%,,(9.6%),7.2%,無税,無税,無税,無税,,無税,無税,無税,無税,無税,,無税,0.7%,無税,無税,5.2%,無税,無税,,,KG,ILFD
0,17.01,,甘しや糖、てん菜糖及び化学的に純粋なしよ糖（固体のものに限る。）,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,粗糖（香味料又は着色料を加えてないものに限る。）,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1701.12,,てん菜糖,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,100.0,1 乾燥状態において、全重量に対するしよ糖の含有量が、検糖計の読みで98.5度未満に相当するもの,無税,,**(71.80円/kg),,,,,,,,,,,,,,,,,,無税,無税,,,MT,SPFD
4,,200.0,2 その他のもの,21.50円/kg,,**(103.10円/kg),,,,,,,,,,,,,,,,,,関税割当数量以内のもの　無税 関税割当数量以外のもの　21.50円/kg,関税割当数量以内のもの　無税,,,MT,SPFD
5,1701.13,0.0,この類の号注2の甘しや糖,41.50円/kg,,35.30円/kg,,無税,,,,,,,,,小売用の容器入りにしたもの(1個の正味重量が1kg以下のものに限る)で、関税割当数量以内のもの　17.65円/kg,,,,,,,関税割当数量以内のもの　無税 関税割当数量以外のもの　35.30円/kg,関税割当数量以内のもの　無税,,,MT,SPFD
6,1701.14,,その他の甘しや糖,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,1 乾燥状態において、全重量に対するしよ糖の含有量が、検糖計の読みで98.5度未満に相当するもの,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,110.0,(1)分蜜糖,無税,,**(71.80円/kg),,,,,,,,,,,,,,,,,,無税,無税,,,MT,SPFD
9,,190.0,(2)その他のもの,41.50円/kg,,35.30円/kg,,無税,,,,,,,,,小売用の容器入りにしたもの(1個の正味重量が1kg以下のものに限る)で、関税割当数量以内のもの　17.65円/kg,,,,,,,関税割当数量以内のもの　無税 関税割当数量以外のもの　35.30円/kg,関税割当数量以内のもの　無税,,,MT,SPFD
10,,200.0,2 その他のもの,21.50円/kg,,**(103.10円/kg),,,,,,,,,,,,,,,,精製用のもの（乾燥状態において、全重量に対するしょ糖の含有量が、検糖計の読みで99.3度未満に相当するものに限る。）　無税,,無税～21.50円/kg ◆2,関税割当数量以内のもの　無税,,,MT,SPFD
11,,,その他のもの,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1701.91,0.0,香味料又は着色料を加えたもの,(63.50円/kg),39.98円/kg,**(106.20円/kg),,,,,,,,,,,,,,,,,,関税割当数量以内のもの　無税 関税割当数量以外のもの　39.98円/kg,関税割当数量以内のもの　無税,,,KG,SPFD
13,1701.99,,その他のもの,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,100.0,1 氷砂糖、角砂糖、棒砂糖その他これらに類するもの,(63.50円/kg),39.98円/kg,**(106.20円/kg),,,,,,,,,,,,,,,,,,関税割当数量以内のもの　無税 関税割当数量以外のもの　39.98円/kg,関税割当数量以内のもの　無税,,,MT,SPFD
15,,200.0,2 その他のもの,21.50円/kg,,**(103.10円/kg),,,,,,,,,,,,,,,,,,関税割当数量以内のもの　無税 関税割当数量以外のもの　21.50円/kg,関税割当数量以内のもの　無税,,,MT,SPFD
16,17.02,,その他の糖類（化学的に純粋な乳糖、麦芽糖、ぶどう糖及び果糖を含むものとし、固体のものに限る。）、糖水（香味料又は着色料を加えてないものに限る。）、人造はちみつ（天然はちみつを混合してあるかないかを問わない。）及びカラメル,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,乳糖及び乳糖水,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1702.11,0.0,無水乳糖として計算した乳糖の含有量が乾燥状態において全重量の99％以上のもの,10%,,8.5%,4.3%,無税,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG,PASPFD
19,1702.19,0.0,その他のもの,10%,,8.5%,4.3%,無税,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG,PASPFD
20,1702.2,,かえで糖及びかえで糖水,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,100.0,1 かえで糖,41.50円/kg,,20.80円/kg,,無税,,,,,,,,,,,,,,,,5.20円/kg,13円/kg,5.20円/kg,,KG,PASPFD
22,,200.0,2 かえで糖水,35%又は27円/kgのうちいずれか高い税率,,17.5%又は13.50円/kgのうちいずれか高い税率,,無税,,,,,,,,,,,,,,,,4.3%又は3.38円/kgのうちいずれか高い税率,10.9%又は8.44円/kgのうちいずれか高い税率,4.3%又は3.38円/kgのうちいずれか高い税率,,KG,PASPFD
23,1702.3,,ぶどう糖及びぶどう糖水（果糖を含有しないもの及び果糖の含有量が乾燥状態において全重量の20％未満のものに限る。）,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,100.0,1 香味料又は着色料を加えたもの,35%又は27円/kgのうちいずれか高い税率,,29.8%又は23円/kgのうちいずれか高い税率,,無税,,,,,,,,,,,,,,,,21.6%又は16.73円/kgのうちいずれか高い税率,23.7%又は18.30円/kgのうちいずれか高い税率,21.6%又は16.73円/kgのうちいずれか高い税率,,KG,PASPFD
25,,,2 その他のもの,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,210.0,(1)砂糖を加えたもの,50%又は25円/kgのうちいずれか高い税率,,**(85.7%又は60.90円/kgのうちいずれか高い税率),,,,,,,,,,,,,,,,,,50%又は25円/kgのうちいずれか高い税率,関税割当数量以内のもの　当該原産品に含まれる砂糖の重量1kgにつき21.50円,関税割当数量以内のもの　原産品に含まれる砂糖の重量1キログラムにつき21.50円 関税割当数量以外のもの　50%又は25円/kgのうちいずれか高い税率,,KG,PASPFD
27,,,(2)その他のもの,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,221.0,A 精製したもの,25%,,21.3%,,無税,,,,,,,,21.3%,,,,,,,,21.3%,関税割当数量以内のもの　無税,関税割当数量以内のもの　無税 関税割当数量以外のもの　21.3%,,KG,PASPFD
29,,229.0,B その他のもの,50%又は25円/kgのうちいずれか高い税率,,(50%又は25円/kgのうちいずれか高い税率),,無税,,,,,,,,,,,,,,,,50%又は25円/kgのうちいずれか高い税率,関税割当数量以内のもの　無税,関税割当数量以内のもの　無税 関税割当数量以外のもの　50%又は25円/kgのうちいずれか高い税率,,KG,PASPFD
30,1702.4,,ぶどう糖及びぶどう糖水（果糖の含有量が乾燥状態において全重量の20％以上50％未満のものに限るものとし、転化糖を除く。）,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,100.0,1 香味料又は着色料を加えたもの,35%又は27円/kgのうちいずれか高い税率,,29.8%又は23円/kgのうちいずれか高い税率,,無税,,,,,,,,,,,,,,,,21.6%又は16.73円/kgのうちいずれか高い税率,23.7%又は18.30円/kgのうちいずれか高い税率,,,KG,PASPFD
32,,,2 その他のもの,50%又は25円/kgのうちいずれか高い税率,,,,,,,,,,,,,,,,,,,,,,,,,
33,,210.0,－ 砂糖を加えたもの,,,**(78.5%又は53.70円/kgのうちいずれか高い税率),,,,,,,,,,,,,,,,,,50%又は25円/kgのうちいずれか高い税率,関税割当数量以内のもの　当該原産品に含まれる砂糖の重量1kgにつき21.50円,関税割当数量以内のもの　原産品に含まれる砂糖の重量1キログラムにつき21.50円 関税割当数量以外のもの　50%又は25円/kgのうちいずれか高い税率,,KG,PASPFD
34,,220.0,－ その他のもの,,,(50%又は25円/kgのうちいずれか高い税率),,無税,,,,,,,,,,,,,,,,50%又は25円/kgのうちいずれか高い税率,関税割当数量以内のもの　無税,関税割当数量以内のもの　無税 関税割当数量以外のもの　50%又は25円/kgのうちいずれか高い税率,,KG,PASPFD
35,1702.5,0.0,果糖（化学的に純粋なものに限る。）,9%,,(9%),無税,,無税,,無税,無税,無税,無税,無税,無税,無税,,無税,無税,無税,無税,無税,無税,無税,無税,,KG,PASPFD
36,1702.6,,その他の果糖及び果糖水（果糖の含有量が乾燥状態において全重量の50％を超えるものに限るものとし、転化糖を除く。）,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,100.0,1 香味料又は着色料を加えたもの,35%又は27円/kgのうちいずれか高い税率,,29.8%又は23円/kgのうちいずれか高い税率,,無税,,,,,,,,,,,,,,,,21.6%又は16.73円/kgのうちいずれか高い税率,23.7%又は18.30円/kgのうちいずれか高い税率,,,KG,PASPFD
38,,,2 その他のもの,50%又は25円/kgのうちいずれか高い税率,,,,,,,,,,,,,,,,,,,,,,,,,
39,,210.0,－ 砂糖を加えたもの,,,**(85.7%又は60.90円/kgのうちいずれか高い税率),,,,,,,,,,,,,,,,,,50%又は25円/kgのうちいずれか高い税率,関税割当数量以内のもの　当該原産品に含まれる砂糖の重量1kgにつき21.50円,関税割当数量以内のもの　原産品に含まれる砂糖の重量1キログラムにつき21.50円 関税割当数量以外のもの　50%又は25円/kgのうちいずれか高い税率,,KG,PASPFD
40,,220.0,－ その他のもの,,,(50%又は25円/kgのうちいずれか高い税率),,無税,,◆3,,,,,,,,,,,,,,無税～50%又は25円/kgのうちいずれか高い税率 ◆4,関税割当数量以内のもの　無税,関税割当数量以内のもの　無税 関税割当数量以外のもの　50%又は25円/kgのうちいずれか高い税率,,KG,PASPFD
41,1702.9,,その他のもの（転化糖並びにその他の糖類及び糖水の混合物で果糖を乾燥状態において全重量の50％含有するものを含む。）,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,1 砂糖,35%,,,,,,,,,,,,,,,,,,,,,,,,,
43,,110.0,－ 分蜜糖,,24.5%,**(61.9%),,,,,,,,,,,,,,,,,,関税割当数量以内のもの　無税 関税割当数量以外のもの　24.5%,関税割当数量以内のもの　無税,,,KG,PASPFD
44,,190.0,－ その他のもの,,,29.8%,,無税,,,,,,,,29.8%,,,,,,,,21.6%,21.7%,,,KG,PASPFD
45,,,2 砂糖水,35%又は27円/kgのうちいずれか高い税率,,,,,,,,,,,,,,,,,,,,,,,,,
46,,211.0,－ 分蜜糖のもの,,24.6%又は13.30円/kgのうちいずれか高い税率,**(35.4%又は47円/kgのうちいずれか高い税率),,,,,,,,,,,,,,,,,,関税割当数量以内のもの　無税 関税割当数量以外のもの　24.6%又は13.30円/kgのうちいずれか高い税率,関税割当数量以内のもの　無税,,,KG,PASPFD
47,,219.0,－ その他のもの,,,29.8%又は23円/kgのうちいずれか高い税率,,無税,,,,,,,,,,,,,,,,関税割当数量以内のもの　無税 関税割当数量以外のもの　29.8%又は23円/kgのうちいずれか高い税率,関税割当数量以内のもの　無税,,,KG,PASPFD
48,,,3 人造はちみつ及びカラメル,50%又は25円/kgのうちいずれか高い税率,,(50%又は25円/kgのうちいずれか高い税率),,無税,,,,,,,,,,,,,,,,,,,,,
49,,290.0,－ 人造はちみつ,,,,,,,,,,,,,,,,,,,,,36.3%又は18.18円/kgのうちいずれか高い税率,36.4%又は18.18円/kgのうちいずれか高い税率,36.3%又は18.18円/kgのうちいずれか高い税率,,KG,PASPFD
50,,300.0,－ カラメル,,,,,,,,,,,,,,,,,,,,,36.3%又は18.18円/kgのうちいずれか高い税率,36.4%又は18.18円/kgのうちいずれか高い税率,36.3%又は18.18円/kgのうちいずれか高い税率,,KG,PASPFD
51,,,4 ハイ・テスト・モラセス,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,410.0,(1)グルタミン酸及びその塩、酵母、リジン、5'-リボヌクレオチド及びその塩その他政令で定める物品の製造に使用するもの,◎5%,,3%,,無税,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,0.3%,無税,無税,無税,無税,無税,,,KG,PASPFD
53,,420.0,(2)その他のもの,25%,,21.3%,,無税,,,,,,,,21.3%,,,,,,,,15.4%,18.4%,15.4%,,KG,PASPFD
54,,,5 その他のもの,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,510.0,(1)香味料又は着色料を加えたもの,35%又は27円/kgのうちいずれか高い税率,,29.8%又は23円/kgのうちいずれか高い税率,,無税,,,,,,,,,,,,,,,,21.6%又は16.73円/kgのうちいずれか高い税率,21.7%又は16.73円/kgのうちいずれか高い税率,21.6%又は16.73円/kgのうちいずれか高い税率,,KG,PASPFD
56,,,(2)その他のもの,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,521.0,A 砂糖を加えたもの,50%又は25円/kgのうちいずれか高い税率,,**(114.2%又は89.50円/kgのうちいずれか高い税率),,,,,,,,,,,,,,,,,,関税割当数量以内のもの　無税 関税割当数量以外のもの　50%又は25円/kgのうちいずれか高い税率,関税割当数量以内のもの　無税,,,KG,PASPFD
58,,,B その他のもの,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,522.0,(a)ソルボース,20%,,12%,,無税,無税,,無税,無税,無税,無税,無税,無税,無税,,無税,1.1%,1.1%,1.5%,6.5%,6%,6%,,,KG,PASPFD
60,,523.0,(b)麦芽糖,25%,,21.3%,,無税,,,,,,,,21.3%,,,,,,,,14.9%,15.5%,15.4%,,KG,PASPFD
61,,529.0,(c)その他のもの,50%又は25円/kgのうちいずれか高い税率,,(50%又は25円/kgのうちいずれか高い税率),,無税,,,,,,,,,,,,,,,,50%又は25円/kgのうちいずれか高い税率,関税割当数量以内のもの　無税,関税割当数量以内のもの　無税 関税割当数量以外のもの　50%又は25円/kgのうちいずれか高い税率,,KG,PASPFD
62,17.03,,糖みつ（砂糖の抽出又は精製の際に生ずるものに限る。）,,,,,,,,,,,,,,,,,,,,,,,,,,
63,1703.1,,甘しや糖みつ,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,20.0,1 グルタミン酸及びその塩、酵母、リジン、5'-リボヌクレオチド及びその塩その他政令で定める物品の製造に使用するもの,◎5%,,3%,,無税,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,0.3%,無税,無税,1.1%,無税,無税,,,MT,FD
65,,,2 その他のもの,18円/kg,,,,,,,,,,,,,,,,,,,,,,,,,
66,,10.0,－ 飼料用のもの（税関の監督の下で飼料の原料として使用するものに限る。）,,,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,MT,FD
67,,90.0,－ その他のもの,,,15.30円/kg,,無税,,,,,関税割当数量以内のもの　7.65円/kg,,,,関税割当数量以内のもの　7.65円/kg,,,,,,,7.65円/kg,7.65円/kg,7.65円/kg,,MT,FD
68,1703.9,,その他のもの,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,20.0,1 グルタミン酸及びその塩、酵母、リジン、5'-リボヌクレオチド及びその塩その他政令で定める物品の製造に使用するもの,◎5%,,3%,,無税,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,0.3%,無税,無税,1.1%,無税,無税,,,MT,FD
70,,,2 その他のもの,18円/kg,,,,,,,,,,,,,,,,,,,,,,,,,
71,,10.0,－ 飼料用のもの（税関の監督の下で飼料の原料として使用するものに限る。）,,,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,MT,FD
72,,90.0,－ その他のもの,,,15.30円/kg,,無税,,,,,,,,,,,,,,,,11.13円/kg,11.13円/kg,11.13円/kg,,MT,FD
73,17.04,,砂糖菓子（ホワイトチョコレートを含むものとし、ココアを含有しないものに限る。）,,,,,,,,,,,,,,,,,,,,,,,,,,
74,1704.1,0.0,チューインガム（砂糖で覆つてあるかないかを問わない。）,30%,,24%,,無税,,,,,,,,24%,,,24%,,,,,17.4%,17.5%,17.4%,,KG,FD
75,1704.9,,その他のもの,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,100.0,1 甘草エキス（菓子にしたものを除く。）,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,KG,FD
77,,,2 その他のもの,35%,,25%,,無税,,,,,,,,,,,,,,,,,,,,,
78,,210.0,－ キャンデー類,,,,,,,,,,,,,25%,,,25%,,,,,関税割当数量以内のもの　無税 関税割当数量以外のもの　25%,18.2%,,,KG,FD
79,,220.0,－ キャラメル,,,,,,,,,,,,,25%,,,25%,,,,,18.1%,18.2%,,,KG,FD
80,,230.0,－ ホワイトチョコレート,,,,,,,,,,,,,25%,,関税割当数量以内のもの　20%,25%,,,関税割当数量以内のもの　20%,,関税割当数量以内のもの　無税 関税割当数量以外のもの　25%,18.2%,,,KG,FD
81,,290.0,－ その他のもの,,,,,,,,,,,,,25%,,関税割当数量以内のもの　20%,25%,,,関税割当数量以内のもの　20%,,関税割当数量以内のもの　無税 関税割当数量以外のもの　25%,18.2%,,,KG,FD
0,18.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1801.0,0.0,カカオ豆（生のもの及びいつたもので、全形のもの及び割つたものに限る。）,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,KG,FDPL
2,18.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1802.0,0.0,カカオ豆の殻、皮その他のくず,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,KG,FD
4,18.03,,ココアペースト（脱脂してあるかないかを問わない。）,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1803.1,0.0,脱脂してないもの,10%,,5%,3.5%,無税,無税,,無税,無税,無税,無税,,無税,無税,無税,無税,0.3%,無税,無税,0.8%,無税,無税,無税,,KG,FD
6,1803.2,0.0,完全に又は部分的に脱脂したもの,20%,,10%,7%,無税,無税,,無税,無税,無税,無税,,無税,無税,無税,無税,0.6%,無税,1.3%,3.8%,5%,5%,5%,,KG,FD
7,18.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1804.0,0.0,カカオ脂,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,KG,FD
9,18.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1805.0,0.0,ココア粉（砂糖その他の甘味料を加えたものを除く。）,21.5%,,12.9%,10.5%,無税,無税,,無税,無税,無税,無税,,無税,無税,無税,無税,,1%,1.6%,4.8%,6.4%,無税,6.4%,,KG,FD
11,18.06,,チョコレートその他のココアを含有する調製食料品,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1806.1,,ココア粉（砂糖その他の甘味料を加えたものに限る。）,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,1 砂糖を加えたもの,35%,,29.8%,,無税,,,,,,,,,,,,,,,,,,,,,
14,,110.0,－しよ糖の含有量が全重量の50％以上のもの,,※25.8%,,,,,,,,,,,※25.8%,,,※25.8%,,,,,関税割当数量以内のもの　25.7% 関税割当数量以外のもの　※25.8%,関税割当数量以内のもの　25.7%,,,KG,SPFD
15,,190.0,－その他のもの,,,,,,,,,,,,,29.8%,,,29.8%,,,,,関税割当数量以内のもの　25.7% 関税割当数量以外のもの　29.8%,関税割当数量以内のもの　25.7%,,,KG,FD
16,,200.0,2 その他のもの,25%,,15%,12.5%,無税,1.9%,無税,4%,,,,,12.5%,無税,無税,,,無税,1.9%,5.6%,無税,無税,,,KG,FD
17,1806.2,,その他の調製品（塊状、板状又は棒状のもので、その重量が2キログラムを超えるもの及び液状、ペースト状、粉状、粒状その他これらに類する形状のもので、正味重量が2キログラムを超える容器入り又は直接包装にしたものに限る。）,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,1 第04.01項から第04.04項までの物品の調製食料品（ココア粉の含有量が全重量の10％未満のものに限る。）,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,(1)ミルクの天然の組成分の含有量の合計が乾燥状態において全重量の30％以上のもの（加圧容器入りにしたホイップドクリームを除く。）,28%＋799円/kg,,,,無税,,,,,,,,,,,,,,,,,,,,,
20,,311.0,－ その他の乳製品に係る共通の限度数量以内のもの,,21%,(21%),,,,,,,,,,,,,,,,,,13.1%,15.8%,,,KG,FD
21,,319.0,－ その他のもの,,,23.8%＋679円/kg,,,,,,,,,,,,,,,,,,23.8%＋679円/kg,,,,KG,FD
22,,,(2)その他のもの,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,321.0,A 砂糖を加えたもの,28%,,23.8%,,無税,,,,,,,,23.8%,,19%,,,,19%,,17.3%,17.3%,17.3%,,KG,FD
24,,322.0,B その他のもの,25%,,21.3%,,無税,,,,,,,,21.3%,17%,17%,,,,17%,,15.4%,18.4%,,,KG,FD
25,,,2 その他のもの,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,(1)砂糖を加えたもの,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,A チューインガムその他の砂糖菓子及び塊状、板状、棒状又はペースト状の調製品,35%,,29.8%,,無税,,,,,,,,,,,,,,,,,,,,,
28,,112.0,－ チューインガムその他の砂糖菓子及びしよ糖の含有量が全重量の50％以上のもの,,※1%,,,,,,,,,,,※1%,,,※1%,,,,,関税割当数量以内のもの　無税 関税割当数量以外のもの　※1%,※1%,,,KG,SPFD
29,,,－ その他のもの,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,113.0,－－ 各成分のうち砂糖の重量が最大のもの,,,,,,,,,,,,,29.8%,,,29.8%,,,,,関税割当数量以内のもの　無税 関税割当数量以外のもの　29.8%,21.7%,,,KG,FD
31,,119.0,－－ その他のもの,,,,,,,,,,,,,29.8%,,23.8%,,,,23.8%,,関税割当数量以内のもの　無税 関税割当数量以外のもの　29.8%,21.7%,,,KG,FD
32,,,B その他のもの,28%,,(28%),,無税,,,,,,,,,,,,,,,,,,,,,FD
33,,121.0,－ しよ糖の含有量が全重量の50％以上のもの,,※25%,,,,,,,,,,,※25%,,,,,,,,関税割当数量以内のもの　24.9% 関税割当数量以外のもの　※25%,20.4%,,,KG,SP
34,,129.0,－ その他のもの,,,,,,,,,,,,,28%,,,,,,,,関税割当数量以内のもの　24.9% 関税割当数量以外のもの　28%,20.4%,,,KG,
35,,,(2)その他のもの,25%,,21.3%,,,,,,,,,,,,,,,,,,,,,,,
36,,210.0,－ チョコレートの製造用のココアを含有する調製食料品について、当該年度におけるチョコレートの製造用の当該調製食料品及び粉乳の需給その他の条件を勘案して政令で定める数量以内のもの,,◎無税,,,,,,,,,,,,,,,,,,,◎無税 ◆2,,,,KG,FD
37,,290.0,－ その他のもの,,,,12.5%,無税,,,,,,,,,,関税割当数量以内のもの　無税,,,,チョコレートの原料として使用するもので、関税割当数量以内のもの　無税,,無税～21.3% ◆3,チョコレートの原料として使用するものであって、関税割当数量以内のもの　無税 その他のものであって、関税割当数量以内のもの　18.4%,,,KG,FD
38,,,その他のもの（塊状、板状又は棒状のものに限る。）,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1806.31,0.0,詰物をしたもの,10%,,(10%),,無税,,,,,,,,10%,,関税割当数量以内のもの　8%,,,,8.7%,,関税割当数量以内のもの　無税 関税割当数量以外のもの　10%,7.3%,,,KG,FD
40,1806.32,,詰物をしてないもの,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,100.0,1 チョコレート菓子,10%,,(10%),,無税,,,,,,,,10%,,関税割当数量以内のもの　8%,,,,,,関税割当数量以内のもの　無税 関税割当数量以外のもの　10%,7.3%,,,KG,FD
42,,,2 その他のもの,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,(1)砂糖を加えたもの,35%,,29.8%,,無税,,,,,,,,,,,,,,,,,,,,,
44,,212.0,－ チューインガムその他の砂糖菓子及びしよ糖の含有量が全重量の50％以上のもの,,※1%,,,,,,,,,,,※1%,,,,,,,,関税割当数量以内のもの　無税 関税割当数量以外のもの　※1%,※1%,,,KG,SPFD
45,,,－ その他のもの,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,213.0,－－ 各成分のうち砂糖の重量が最大のもの,,,,,,,,,,,,,29.8%,,,,,,,,関税割当数量以内のもの　無税 関税割当数量以外のもの　29.8%,21.7%,,,KG,FD
47,,219.0,－－ その他のもの,,,,,,,,,,,,,29.8%,,,,,,,,関税割当数量以内のもの　無税 関税割当数量以外のもの　29.8%,21.7%,,,KG,FD
48,,220.0,(2)その他のもの,25%,,21.3%,12.5%,無税,2.7%,,5%,,,,,21.3%,,,,,,12%,14.6%,10.6%,10.7%,,,KG,FD
49,1806.9,,その他のもの,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,100.0,1 チョコレート菓子,10%,,(10%),,無税,,,,,,,,10%,,関税割当数量以内のもの　8%,,,,8.7%,,関税割当数量以内のもの　無税 関税割当数量以外のもの　10%,7.3%,,,KG,FD
51,,,2 その他のもの,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,(1)第04.01項から第04.04項までの物品の調製食料品（ココア粉の含有量が全重量の10％未満のものに限る。）,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,A ミルクの天然の組成分の含有量の合計が乾燥状態において全重量の30％以上のもの（加圧容器入りにしたホイップドクリームを除く。）,28%＋799円/kg,,,,無税,,,,,,,,,,,,,,,,,,,,,
54,,311.0,－ その他の乳製品に係る共通の限度数量以内のもの,,21%,(21%),,,,,,,,,,,,,,,,,,13.1%,15.8%,,,KG,FD
