,統計番号Statistical code,統計番号Statistical code,品名Description,関税率Tariff rate,関税率Tariff rate,関税率Tariff rate,関税率Tariff rate,関税率Tariff rate,関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),単位Unit,単位Unit,関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA)
384,,212.0,B ライムジュース,16%,,12%,,無税,4.4%,無税,3.3%,4.4%,1.5%,5.5%,5.5%,5.5%,3.0%,6.5%,6.5%,8.7%,8.7%,L,KG,,
385,,219.0,C その他のもの,22.5%,,19.1%,,無税,10.7%,,9.6%,,10.7%,,,12.0%,8.7%,13.1%,,,,L,KG,,
386,,290.0,(2)その他のもの,30%,,25.5%,,無税,14.3%,,12.8%,,14.3%,,,16.0%,11.6%,17.5%,,,,L,KG,,
387,2009.39,,その他のもの,,,,,,,,,,,,,,,,,,,,,,
388,,,1 砂糖を加えたもの,,,,,,,,,,,,,,,,,,,,,,
389,,110.0,(1)しよ糖（天然に含有するものを含む。）の含有量が全重量の10％以下のもの,27%,,23%,,無税,12.9%,,11.5%,,12.9%,,,14.4%,10.5%,15.8%,,,,L,KG,,
390,,190.0,(2)その他のもの,35%又は27円/kgのうちいずれか高い税率,,29.8%又は23円/kgのうちいずれか高い税率,,無税,16.8%又は12.94円/kgのうちいずれか高い税率,,14.9%又は11.50円/kgのうちいずれか高い税率,,16.8%又は12.94円/kgのうちいずれか高い税率,,,,18.6%又は14.38円/kgのうちいずれか高い税率,20.5%又は15.81円/kgのうちいずれか高い税率,20.5%又は15.81円/kgのうちいずれか高い税率,,,L,KG,,
391,,,2 その他のもの,,,,,,,,,,,,,,,,,,,,,,
392,,,(1)しよ糖の含有量が全重量の10％以下のもの,,,,,,,,,,,,,,,,,,,,,,
393,,211.0,A レモンジュース,8%,,6%,,無税,無税,無税,無税,無税,0.8%,無税,無税,2.7%,無税,1.0%,3.3%,4.4%,3.0%,L,KG,,
394,,212.0,B ライムジュース,16%,,12%,,無税,4.4%,無税,3.3%,4.4%,4.4%,5.5%,5.5%,5.5%,5.5%,6.5%,6.5%,8.7%,7.5%,L,KG,,
395,,219.0,C その他のもの,22.5%,,19.1%,,無税,10.7%,,9.6%,,10.7%,,,12.0%,8.7%,13.1%,,,,L,KG,,
396,,290.0,(2)その他のもの,30%,,25.5%,,無税,14.3%,,12.8%,,14.3%,,,16.0%,11.6%,17.5%,,,,L,KG,,
397,,,パイナップルジュース,,,,,,,,,,,,,,,,,,,,,,
398,2009.41,,ブリックス値が20以下のもの,,,,,,,,,,,,,,,,,,,,,,
399,,,1 砂糖を加えたもの,,,,,,,,,,,,,,,,,,,,,,
400,,110.0,(1)しよ糖（天然に含有するものを含む。）の含有量が全重量の10％以下のもの,27%,,23%,,無税,,,,,,,,23%,20.7%,,21.1%,,,L,KG,,
401,,190.0,(2)その他のもの,35%又は27円/kgのうちいずれか高い税率,,29.8%又は23円/kgのうちいずれか高い税率,,無税,,,,,,,,,26.8%又は20.70円/kgのうちいずれか高い税率,,27.3%又は21.08円/kgのうちいずれか高い税率,,,L,KG,,
402,,,2 その他のもの,,,,,,,,,,,,,,,,,,,,,,
403,,210.0,(1)しよ糖の含有量が全重量の10％以下のもの,22.5%,,19.1%,,無税,,,,,,,,19.1%,17.2%,,17.5%,,,L,KG,,
404,,290.0,(2)その他のもの,30%,,25.5%,,無税,,,,,,,,25.5%,23.0%,,23.4%,,,L,KG,,
405,2009.49,,その他のもの,,,,,,,,,,,,,,,,,,,,,,
406,,,1 砂糖を加えたもの,,,,,,,,,,,,,,,,,,,,,,
407,,110.0,(1)しよ糖（天然に含有するものを含む。）の含有量が全重量の10％以下のもの,27%,,23%,,無税,,,,,,,,23%,20.7%,,21.1%,,,L,KG,,
408,,190.0,(2)その他のもの,35%又は27円/kgのうちいずれか高い税率,,29.8%又は23円/kgのうちいずれか高い税率,,無税,,,,,,,,,26.8%又は20.70円/kgのうちいずれか高い税率,,27.3%又は21.08円/kgのうちいずれか高い税率,,,L,KG,,
409,,,2 その他のもの,,,,,,,,,,,,,,,,,,,,,,
410,,210.0,(1)しよ糖の含有量が全重量の10％以下のもの,22.5%,,19.1%,,無税,,,,,,,,19.1%,17.2%,,17.5%,,,L,KG,,
411,,290.0,(2)その他のもの,30%,,25.5%,,無税,,,,,,,,25.5%,23.0%,,23.4%,,,L,KG,,
412,2009.5,,トマトジュース,,,,,,,,,,,,,,,,,,,,,,
413,,100.0,1 砂糖を加えたもの,35%,,29.8%,,無税,,,,,,,,29.8%,23.8%,,24.8%,,,L,KG,,
414,,200.0,2 その他のもの,25%,,21.3%,,無税,,附属書1第2節注釈14に定める関税割当数量以内のもの 無税,,,17%,,,21.3%,17.0%,,19.6%,,,L,KG,,
415,,,ぶどうジュース（ぶどう搾汁を含む。）,,,,,,,,,,,,,,,,,,,,,,
416,2009.61,,ブリックス値が30以下のもの,,,,,,,,,,,,,,,,,,,,,,
417,,,1 砂糖を加えたもの,,,,,,,,,,,,,,,,,,,,,,
418,,110.0,(1)しよ糖（天然に含有するものを含む。）の含有量が全重量の10％以下のもの,27%,,23%,,無税,12.9%,無税,11.5%,12.9%,12.9%,14.4%,14.4%,14.4%,14.4%,15.8%,15.8%,18.7%,18.7%,L,KG,,
419,,190.0,(2)その他のもの,35%又は27円/kgのうちいずれか高い税率,,29.8%又は23円/kgのうちいずれか高い税率,,無税,16.8%又は12.94円/kgのうちいずれか高い税率,無税,14.9%又は11.50円/kgのうちいずれか高い税率,16.8%又は12.94円/kgのうちいずれか高い税率,16.8%又は12.94円/kgのうちいずれか高い税率,18.6%又は14.38円/kgのうちいずれか高い税率,18.6%又は14.38円/kgのうちいずれか高い税率,18.6%又は14.38円/kgのうちいずれか高い税率 ただしその税率が50%を上回る場合は50%,18.6%又は14.38円/kgのうちいずれか高い税率,20.5%又は15.81円/kgのうちいずれか高い税率,20.5%又は15.81円/kgのうちいずれか高い税率,"24.2%又は18.69円/kgのうちいずれか高い税率""",24.2%又は18.69円/kgのうちいずれか高い税率,L,KG,,
420,,200.0,2 その他のもの,22.5%,,19.1%,,無税,10.7%,無税,9.6%,10.7%,10.7%,11.9%,11.9%,12.0%,11.9%,13.1%,13.1%,15.5%,15.5%,L,KG,,
421,2009.69,,その他のもの,,,,,,,,,,,,,,,,,,,,,,
422,,,1 砂糖を加えたもの,,,,,,,,,,,,,,,,,,,,,,
423,,110.0,(1)しよ糖（天然に含有するものを含む。）の含有量が全重量の10％以下のもの,27%,,23%,,無税,12.9%,無税,11.5%,12.9%,12.9%,14.4%,14.4%,14.4%,14.4%,15.8%,15.8%,18.7%,18.7%,L,KG,,
424,,190.0,(2)その他のもの,35%又は27円/kgのうちいずれか高い税率,,29.8%又は23円/kgのうちいずれか高い税率,,無税,16.8%又は12.94円/kgのうちいずれか高い税率,,14.9%又は11.50円/kgのうちいずれか高い税率,16.8%又は12.94円/kgのうちいずれか高い税率,16.8%又は12.94円/kgのうちいずれか高い税率,18.6%又は14.38円/kgのうちいずれか高い税率,18.6%又は14.38円/kgのうちいずれか高い税率,18.6%又は14.38円/kgのうちいずれか高い税率 ただしその税率が50%を上回る場合は50%,18.6%又は14.38円/kgのうちいずれか高い税率,20.5%又は15.81円/kgのうちいずれか高い税率,20.5%又は15.81円/kgのうちいずれか高い税率,"24.2%又は18.69円/kgのうちいずれか高い税率""",24.2%又は18.69円/kgのうちいずれか高い税率,L,KG,,
425,,,2 その他のもの,,,,,,,,,,,,,,,,,,,,,,
426,,210.0,(1)しよ糖の含有量が全重量の10％以下のもの,22.5%,,19.1%,,無税,10.7%,無税,9.6%,6.9%,10.7%,11.9%,11.9%,12.0%,11.9%,13.1%,13.1%,15.5%,15.5%,L,KG,,
427,,290.0,(2)その他のもの,30%,,25.5%,,無税,14.3%,,12.8%,9.3%,14.3%,15.9%,15.9%,16.0%,15.9%,17.5%,17.5%,20.7%,20.7%,L,KG,,
428,,,りんごジュース,,,,,,,,,,,,,,,,,,,,,,
429,2009.71,,ブリックス値が20以下のもの,,,,,,,,,,,,,,,,,,,,,,
430,,,1 砂糖を加えたもの,,,,,,,,,,,,,,,,,,,,,,
431,,110.0,(1)しよ糖（天然に含有するものを含む。）の含有量が全重量の10％以下のもの,27%,,23%,,無税,12.9%,,11.5%,,12.9%,,,14.4%,14.4%,15.8%,15.8%,,,L,KG,,
432,,190.0,(2)その他のもの,40%又は27円/kgのうちいずれか高い税率,,34%又は23円/kgのうちいずれか高い税率,,無税,19.1%又は12.94円/kgのうちいずれか高い税率,,17%又は11.50円/kgのうちいずれか高い税率,,19.1%又は12.94円/kgのうちいずれか高い税率,,,,21.3%又は14.38円/kgのうちいずれか高い税率,23.4%又は15.81円/kgのうちいずれか高い税率,23.4%又は15.81円/kgのうちいずれか高い税率,,,L,KG,,
433,,,2 その他のもの,,,,,,,,,,,,,,,,,,,,,,
434,,210.0,(1)しよ糖の含有量が全重量の10％以下のもの,22.5%,,19.1%,,無税,10.7%,,9.6%,,10.7%,,,12.0%,11.9%,13.1%,13.1%,,,L,KG,,
435,,290.0,(2)その他のもの,35%,,29.8%,,無税,16.8%,,14.9%,,16.8%,,,18.6%,18.6%,20.5%,20.5%,,,L,KG,,
436,2009.79,,その他のもの,,,,,,,,,,,,,,,,,,,,,,
437,,,1 砂糖を加えたもの,,,,,,,,,,,,,,,,,,,,,,
438,,110.0,(1)しよ糖（天然に含有するものを含む。）の含有量が全重量の10％以下のもの,27%,,23%,,無税,12.9%,,11.5%,,12.9%,,,14.4%,14.4%,15.8%,15.8%,,,L,KG,,
439,,190.0,(2)その他のもの,40%又は27円/kgのうちいずれか高い税率,,34%又は23円/kgのうちいずれか高い税率,,無税,19.1%又は12.94円/kgのうちいずれか高い税率,,17%又は11.50円/kgのうちいずれか高い税率,,19.1%又は12.94円/kgのうちいずれか高い税率,,,,21.3%又は14.38円/kgのうちいずれか高い税率,23.4%又は15.81円/kgのうちいずれか高い税率,23.4%又は15.81円/kgのうちいずれか高い税率,,,L,KG,,
440,,,2 その他のもの,,,,,,,,,,,,,,,,,,,,,,
441,,210.0,(1)しよ糖の含有量が全重量の10％以下のもの,22.5%,,19.1%,,無税,10.7%,,9.6%,,10.7%,,,12.0%,11.9%,13.1%,13.1%,,,L,KG,,
442,,290.0,(2)その他のもの,35%,,29.8%,,無税,16.8%,,14.9%,,16.8%,,,18.6%,18.6%,20.5%,20.5%,,,L,KG,,
443,,,その他の果実又は野菜のジュース（二以上の果実又は野菜から得たものを除く。）,,,,,,,,,,,,,,,,,,,,,,
444,2009.81,,クランベリー（ヴァキニウム・マクロカルポン、ヴァキニウム・オクシココス及びヴァキニウム・ヴィティスイダイア）ジュース,,,,,,,,,,,,,,,,,,,,,,
445,,,1 砂糖を加えたもの,,,,,,,,,,,,,,,,,,,,,,
446,,110.0,(1)しよ糖（天然に含有するものを含む。）の含有量が全重量の10％以下のもの,27%,,23%,,無税,12.9%,4.1%,11.5%,12.9%,12.9%,14.4%,14.4%,9.5%,10.5%,15.8%,15.8%,18.7%,18.7%,L,KG,,
447,,190.0,(2)その他のもの,35%又は27円/kgのうちいずれか高い税率,,29.8%又は23円/kgのうちいずれか高い税率,,無税,16.8%又は12.94円/kgのうちいずれか高い税率,5.4%又は4.18円/kgのうちいずれか高い税率,14.9%又は11.50円/kgのうちいずれか高い税率,16.8%又は12.94円/kgのうちいずれか高い税率,16.8%又は12.94円/kgのうちいずれか高い税率,18.6%又は14.38円/kgのうちいずれか高い税率,18.6%又は14.38円/kgのうちいずれか高い税率,18.6%又は14.38円/kgのうちいずれか高い税率 ただしその税率が50%を上回る場合は50%,18.6%又は14.38円/kgのうちいずれか高い税率,20.5%又は15.81円/kgのうちいずれか高い税率,20.5%又は15.81円/kgのうちいずれか高い税率,"24.2%又は18.69円/kgのうちいずれか高い税率""",24.2%又は18.69円/kgのうちいずれか高い税率,L,KG,,
448,,,2 その他のもの,,,,,,,,,,,,,,,,,,,,,,
449,,210.0,(1)しよ糖の含有量が全重量の10％以下のもの,22.5%,,19.1%,,無税,10.7%,3.4%,9.6%,10.7%,6.9%,11.9%,11.9%,12.0%,8.7%,13.1%,13.1%,15.5%,13.9%,L,KG,,
450,,290.0,(2)その他のもの,30%,,25.5%,,無税,14.3%,無税,12.8%,14.3%,14.3%,15.9%,15.9%,15.9%,11.6%,17.5%,17.5%,20.7%,18.5%,L,KG,,
451,2009.89,,その他のもの,,,,,,,,,,,,,,,,,,,,,,
452,,,1 果汁,,,,,,,,,,,,,,,,,,,,,,
453,,,(1)砂糖を加えたもの,,,,,,,,,,,,,,,,,,,,,,
454,,111.0,A しよ糖（天然に含有するものを含む。）の含有量が全重量の10％以下のもの,27%,,23%,,無税,12.9%,4.1%,11.5%,12.9%,12.9%,14.4%,14.4%,9.5%,10.5%,15.8%,15.8%,18.7%,18.7%,L,KG,,
455,,119.0,B その他のもの,35%又は27円/kgのうちいずれか高い税率,,29.8%又は23円/kgのうちいずれか高い税率,,無税,16.8%又は12.94円/kgのうちいずれか高い税率,5.4%又は4.18円/kgのうちいずれか高い税率,14.9%又は11.50円/kgのうちいずれか高い税率,16.8%又は12.94円/kgのうちいずれか高い税率,16.8%又は12.94円/kgのうちいずれか高い税率,18.6%又は14.38円/kgのうちいずれか高い税率,18.6%又は14.38円/kgのうちいずれか高い税率,18.6%又は14.38円/kgのうちいずれか高い税率 ただしその税率が50％を上回る場合は50％,18.6%又は14.38円/kgのうちいずれか高い税率,20.5%又は15.81円/kgのうちいずれか高い税率,20.5%又は15.81円/kgのうちいずれか高い税率,"24.2%又は18.69円/kgのうちいずれか高い税率""",24.2%又は18.69円/kgのうちいずれか高い税率,L,KG,,
456,,,(2) その他のもの,,,,,,,,,,,,,,,,,,,,,,
457,,,A しよ糖の含有量が全重量の10％以下のもの,22.5%,,,,無税,,,,,,,,,,,,,,,,,
458,,122.0,－ プルーンジュース,,,14.4%,,,5.2%,,3.9%,5.2%,5.2%,6.5%,6.5%,6.5%,6.5%,7.9%,7.9%,10.5%,10.5%,L,KG,,
459,,123.0,－ その他のもの,,,19.1%,,,10.7%,3.4%,9.6%,10.7%,6.9%,11.9%,11.9%,12.0%,8.7%,13.1%,13.1%,15.5%,13.9%,L,KG,,
460,,129.0,B その他のもの,30%,,25.5%,,無税,14.3%,無税,12.8%,14.3%,14.3%,15.9%,15.9%,15.9%,11.6%,17.5%,17.5%,20.7%,18.5%,L,KG,,
461,,,2 野菜ジュース,,,,,,,,,,,,,,,,,,,,,,
462,,210.0,(1)砂糖を加えたもの,10.8%,,8.1%,,無税,1.0%,,無税,1.0%,1.0%,2.0%,2.0%,3.7%,2.0%,3.0%,3.0%,5.9%,5.1%,L,KG,,
463,,,(2)その他のもの,9.6%,,,,無税,,,,,,,,,,,,,,,,,
464,,221.0,－ 気密容器入りのもの,,,9%,7.6%,,1.1%,,無税,1.0%,1.0%,1.9%,2.3%,4.1%,1.9%,3.4%,2.9%,5.5%,4.8%,L,KG,,
465,,,－ その他のもの,,,7.2%,,,,,,,,,,,,,,,,,,,
466,,231.0,－－ にんじんジュース,,,,,,0.9%,無税,無税,0.9%,0.9%,1.8%,1.8%,3.3%,1.8%,2.7%,2.7%,5.2%,4.5%,L,KG,,
467,,239.0,－－ その他のもの,,,,,,0.9%,無税,無税,0.9%,0.9%,1.8%,1.8%,3.3%,1.8%,2.7%,2.7%,5.2%,4.5%,L,KG,,
468,2009.9,,混合ジュース,,,,,,,,,,,,,,,,,,,,,,
469,,,1 混合果汁,,,,,,,,,,,,,,,,,,,,,,
470,,,(1)砂糖を加えたもの,,,,,,,,,,,,,,,,,,,,,,
471,,111.0,A しよ糖（天然に含有するものを含む。）の含有量が全重量の10％以下のもの,27%,,23%,,無税,12.9%,※１,11.5%,,8.4%,,,14.4%,10.5%,15.8%,12.5%,,16.7%,L,KG,,
472,,119.0,B その他のもの,35%又は27円/kgのうちいずれか高い税率,,29.8%又は23円/kgのうちいずれか高い税率,,無税,16.8%又は12.94円/kgのうちいずれか高い税率,※２,14.9%又は11.50円/kgのうちいずれか高い税率,,16.8%又は12.94円/kgのうちいずれか高い税率,,,,18.6%又は14.38円/kgのうちいずれか高い税率,20.5%又は15.81円/kgのうちいずれか高い税率,20.5%又は15.81円/kgのうちいずれか高い税率,,21.7%又は16.73円/kgのうちいずれか高い税率,L,KG,,
473,,,(2)その他のもの,,,,,,,,,,,,,,,,,,,,,,
474,,121.0,A しよ糖の含有量が全重量の10％以下のもの,22.5%,,19.1%,,無税,10.7%,※３,9.6%,,10.7%,,,12.0%,8.7%,13.1%,10.4%,,13.9%,L,KG,,
475,,129.0,B その他のもの,30%,,25.5%,,無税,14.3%,※４,12.8%,,14.3%,,,16.0%,11.6%,17.5%,13.9%,,18.5%,L,KG,,
476,,,2 混合野菜ジュース,,,,,,,,,,,,,,,,,,,,,,
477,,210.0,(1)砂糖を加えたもの,10.8%,,8.1%,,無税,1.0%,無税,無税,1.0%,1.0%,2.0%,2.0%,3.7%,2.0%,1.4%,3.0%,5.9%,5.1%,L,KG,,
478,,220.0,(2)その他のもの,7.2%,,5.4%,,無税,無税,無税,無税,無税,0.7%,無税,1.4%,2.5%,無税,0.9%,2.9%,3.9%,2.7%,L,KG,,
0,21.01,,コーヒー、茶又はマテのエキス、エッセンス及び濃縮物並びにこれらをもととした調製品、コーヒー、茶又はマテをもととした調製品並びにチコリーその他のコーヒー代用物（いつたものに限る。）並びにそのエキス、エッセンス及び濃縮物,,,,,,,,,,,,,,,,,,,,,,
1,,,コーヒーのエキス、エッセンス及び濃縮物並びにこれらをもととした調製品並びにコーヒーをもととした調製品,,,,,,,,,,,,,,,,,,,,,,
2,2101.11,,エキス、エッセンス及び濃縮物,,,,,,,,,,,,,,,,,,,,,,
3,,100.0,1 砂糖を加えたもの,24%,,(24%),15%,無税,,,,,,,,24%,,,,,,,KG,,
4,,,2 その他のもの,,,,,,,,,,,,,,,無税,,,,,,,
5,,210.0,(1)インスタントコーヒー,12.3%,,8.8%,,無税,1.1%,無税,無税,1.1%,1.1%,無税,2.2%,2.2%,2.2%,,3.3%,6.4%,5.5%,,KG,,
6,,290.0,(2)その他のもの,16%,,15%,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,,無税,無税,無税,,KG,,
7,2101.12,,エキス、エッセンス又は濃縮物をもととした調製品及びコーヒーをもととした調製品,,,,,,,,,,,,,,,,,,,,,,
8,,,1 エキス、エッセンス又は濃縮物をもととした調製品,,,,,,,,,,,,,,,,,,,,,,
9,,110.0,(1)砂糖を加えたもの,24%,,(24%),15%,無税,,,,,,,,24%,,,,,,,KG,,
10,,,(2)その他のもの,,,,,,,,,,,,,,,無税,,,,,,,
11,,121.0,A インスタントコーヒー,12.3%,,8.8%,,無税,1.1%,無税,無税,1.1%,1.1%,2.2%,2.2%,2.2%,無税,,3.3%,6.4%,5.5%,,KG,,
12,,122.0,B その他のもの,16%,,15%,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,,無税,無税,無税,,KG,,
13,,,2 コーヒーをもととした調製品,,,,,,,,,,,,,,,,,,,,,,
14,,,(1)ミルクの天然の組成分の含有量の合計が乾燥状態において全重量の30％以上のもの,,,,,,,,,,,,,,,,,,,,,,
15,,,A 乳脂肪分が全重量の30％以下のもの,35%＋799円/kg,,,,無税,,,,,,,,,,,,,,,,,
16,,231.0,－ その他の乳製品に係る共通の限度数量以内のもの,,25%,(25%),,,,,,,,,,,,,,,,,KG,,
17,,232.0,－ その他のもの,,,29.8%＋679円/kg,,,,,,,,,,,,,,,,,KG,,
18,,,B その他のもの,"35%＋1,363円/kg",,,,無税,,,,,,,,,,,,,,,,,
19,,236.0,－ その他の乳製品に係る共通の限度数量以内のもの,,25%,(25%),,,,,,,,,,,,,,,,,KG,,
20,,237.0,－ その他のもの,,,"29.8%＋1,159円/kg",,,,,,,,,,,,,,,,,KG,,
21,,,(2)その他のもの,,,,,,,,,,,,,,,,,,,,,,
22,,,A 砂糖を加えたもの,,,,,,,,,,,,,,,,,,,,,,
23,,,(a)しよ糖の含有量が全重量の50％未満のもの,28%,,,,無税,,,,,,,,,,,,,,,,,
24,,241.0,－ 各成分のうち砂糖の重量が最大のもの,,,(28%),,,,,,,,,,,,,,,,,KG,,
25,,242.0,－ その他のもの,,,19.6%,,,,,,,,,,,,,,,,,KG,,
26,,246.0,(b)その他のもの,35%,,29.8%,,無税,,,,,,,,,,,,,,,KG,,
27,,249.0,B その他のもの,25%,,15%,,無税,5.5%,,4.1%,5.5%,5.5%,6.8.%,6.8%,6.8%,6.8%,8.2%,8.2%,10.9%,10.9%,,KG,,
28,2101.2,,茶又はマテのエキス、エッセンス及び濃縮物並びにこれらをもととした調製品並びに茶又はマテをもととした調製品,,,,,,,,,,,,,,,,,,,,,,
29,,,1 茶又はマテのエキス、エッセンス及び濃縮物並びにこれらをもととした調製品,,,,,,,,,,,,,,,,,,,,,,
30,,110.0,(1)インスタントティー,16%,,10%,5%,無税,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG,,
31,,120.0,(2)その他のもの,12.8%,,8%,,無税,1.0%,,無税,1.0%,1.0%,無税,2.0%,3.6%,2.0%,4.4%,3.0%,5.8%,5.0%,,KG,,
32,,,2 茶又はマテをもととした調製品,,,,,,,,,,,,,,,,,,,,,,
33,,,(1)ミルクの天然の組成分の含有量の合計が乾燥状態において全重量の30％以上のもの,,,,,,,,,,,,,,,,,,,,,,
34,,,A 乳脂肪分が全重量の30％以下のもの,35%＋799円/kg,,,,無税,,,,,,,,,,,,,,,,,
35,,231.0,－ その他の乳製品に係る共通の限度数量以内のもの,,25%,(25%),,,,,,,,,,,,,,,,,KG,,
36,,232.0,－ その他のもの,,,29.8%＋679円/kg,,,,,,,,,,,,,,,,,KG,,
37,,,B その他のもの,"35%＋1,363円/kg",,,,無税,,,,,,,,,,,,,,,,,
38,,236.0,－ その他の乳製品に係る共通の限度数量以内のもの,,25%,(25%),,,,,,,,,,,,,,,,,KG,,
39,,237.0,－ その他のもの,,,"29.8%＋1,159円/kg",,,,,,,,,,,,,,,,,KG,,
40,,,(2)その他のもの,,,,,,,,,,,,,,,,,,,,,,
41,,,A 砂糖を加えたもの,,,,,,,,,,,,,,,,,,,,,,
42,,,(a)しよ糖の含有量が全重量の50％未満のもの,28%,,,,無税,,,,,,,,,,,,,,,,,
43,,241.0,－ 各成分のうち砂糖の重量が最大のもの,,,21%,,,,,,,,,,21%,,,,,,,KG,,
44,,242.0,－ その他のもの,,,16.8%,,,,,,,,,,16.8%,,,,,,,KG,,
45,,246.0,(b)その他のもの,35%,,29.8%,,無税,,,,,,,,29.8%,,,,,,,KG,,
46,,247.0,B その他のもの,25%,,15%,,無税,5.5%,,4.1%,5.5%,5.5%,6.8.%,6.8%,6.8%,6.8%,8.2%,8.2%,10.9%,10.9%,,KG,,
47,2101.3,0.0,チコリーその他のコーヒー代用物（いつたものに限る。）並びにそのエキス、エッセンス及び濃縮物,8%,,6%,3%,無税,無税,,無税,,0.4%,,,2.7%,無税,1.0%,1.6%,,,,KG,,
48,21.02,,酵母（活性のものであるかないかを問わない。）及びその他の単細胞微生物（生きていないものに限るものとし、第30.02項のワクチンを除く。）並びに調製したベーキングパウダー,,,,,,,,,,,,,,,,,,,,,,
49,2102.1,0.0,酵母（活性のものに限る。）,14%,,10.5%,10%,無税,,無税,,,,,,10.2%,2.5%,,,7.3%,,,KG,,
50,2102.2,,酵母（不活性のものに限る。）及びその他の単細胞微生物（生きていないものに限る。）,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,,
51,,100.0,1 酵母,6.4%,,3.8%,無税,,,,,,,,,,,,,,,,KG,,
52,,200.0,2 その他のもの,無税,,(無税),,,,,,,,,,,,,,,,,KG,,
53,2102.3,0.0,調製したベーキングパウダー,14%,,10.5%,5.3%,無税,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG,,
54,21.03,,ソース、ソース用の調製品、混合調味料、マスタードの粉及びミール並びに調製したマスタード,,,,,,,,,,,,,,,,,,,,,,
55,2103.1,0.0,醤油,9.6%,,7.2%,6%,無税,0.9%,,無税,0.8%,0.8%,1.5%,1.8%,1.8%,1.5%,2.7%,2.3%,4.4%,4.4%,,KG,,
56,2103.2,,トマトケチャップその他のトマトソース,,,,,,,,,,,,,,,,,,,,,,
57,,10.0,1 トマトケチャップ,25%,,21.3%,,無税,,附属書1第2節注釈15に定める関税割当数量以内のもの 無税,,,17%,,,21.3%,19.2%,,19.6%,,附属書1第2編第1節注釈2（ｊ）に定める関税割当数量以内のもの 無税,,KG,,
58,,90.0,2 その他のトマトソース,20%,,17%,,無税,,附属書1第2節注釈16に定める関税割当数量以内のもの 無税,,,15.3%,,,17%,8.5%,,9.9%,,附属書1第2編第1節注釈2（ｋ）に定める関税割当数量以内のもの 無税,L,KG,,
59,2103.3,,マスタードの粉及びミール並びに調製したマスタード,,,,,,,,,,,,,,,,,,,,,,
60,,100.0,1 小売用の容器入りにしたもの,12.2%,,9%,,無税,1.1%,,無税,1.1%,1.1%,2.3.%,2.3%,4.1%,無税,4.9%,4.9%,6.5%,5.6%,,KG,,
61,,200.0,2 その他のもの,10.3%,,7.5%,,無税,0.9%,,無税,0.9%,0.9%,1.9%,1.9%,3.4%,1.9%,4.1%,2.8%,5.5%,4.7%,,KG,,
62,2103.9,,その他のもの,,,,,,,,,,,,,,,,,,,,,,
63,,,1 ソース,,,,,,,,,,,,,,,,,,,,,,
64,,110.0,(1)マヨネーズ,12.8%,,(12.8%),,無税,,,,,1.6%,,,12.8%,3.2%,,,,,,KG,,
65,,120.0,(2)フレンチドレッシング及びサラダドレッシング,12%,,10.5%,,無税,,,,,1.3%,,,10.5%,2.6%,,,,,,KG,,
66,,130.0,(3)その他のもの,9.6%,,7.2%,6%,無税,0.9%,無税,無税,0.8%,0.8%,1.5%,無税,1.8%,無税,1.2%,2.3%,3.8%,3.0%,,KG,,
67,,,2 その他のもの,,,,,,,,,,,,,,,,,,,,,,
68,,210.0,(1)インスタントカレーその他のカレー調製品,9.6%,,7.2%,3.6%,無税,0.9%,,無税,0.5%,無税,0.9%,1.8%,1.8%,無税,1.2%,1.4%,2.6%,2.3%,,KG,,
69,,,(2)その他のもの,,,,,,,,,,,,,,,,,,,,,,
70,,221.0,A グルタミン酸ソーダを主成分とするもの,16%,,9.6%,4.8%,無税,1.2%,無税,無税,0.6%,0.6%,1.2%,2.4%,2.4%,無税,1.6%,1.8%,3.5%,3.0%,,KG,,
71,,229.0,B その他のもの,14%,,10.5%,,無税,1.3%,,無税,1.3%,1.3%,2.6.%,2.6%,2.6%,2.6%,3.9%,3.9%,7.6%,7.6%,,KG,,
72,21.04,,スープ、ブロス、スープ用又はブロス用の調製品及び均質混合調製食料品,,,,,,,,,,,,,,,,,,,,,,
73,2104.1,,スープ、ブロス及びスープ用又はブロス用の調製品,,,,,,,,,,,,,,,,,,,,,,
74,,10.0,1 野菜のもの（気密容器入りのものに限る。）,7%,,(7%),,無税,0.9%,無税,無税,0.9%,無税,1.8%,1.8%,3.2%,無税,1.2%,3.8%,5.1%,4.4%,,KG,,
