,統計番号Statistical code,統計番号Statistical code,品名Description,関税率Tariff rate,関税率Tariff rate,関税率Tariff rate,関税率Tariff rate,関税率Tariff rate,関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),単位Unit,単位Unit
454,,300.0,3 その他のもの,6%,,5%,4%,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,1.4%,無税,1.8%,無税,無税,4.5%,,KG
455,306.27,,その他のシュリンプ及びプローン,,,,,,,,,,,,,,,,,,,,,,
456,,,1 生きているもの、生鮮のもの及び冷蔵したもの,4%,,1%,,無税,,,,,,,,,,,,,,,,,
457,,,－ 生きているもの,,,,,,,,,,,,,,,,,,,,,,
458,,111.0,－－ 養殖用又は放流用のもの（クルマエビ属のものに限る。）,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG
459,,119.0,－－ その他のもの,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG
460,,190.0,－ その他のもの,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG
461,,200.0,2 くん製したもの,4.8%,,(4.8%),3.2%,無税,無税,無税,無税,,無税,無税,,無税,無税,1.3%,無税,1.5%,0.8%,無税,4.4%,,KG
462,,300.0,3 その他のもの,6%,,5%,4%,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,1.4%,無税,1.8%,無税,無税,4.5%,,KG
463,306.29,,その他のもの（甲殻類の粉、ミール及びペレット（食用に適するものに限る。）を含む。）,,,,,,,,,,,,,,,,,,,,,,
464,,,1 生きているもの、生鮮のもの及び冷蔵したもの,,,,,,,,,,,,,,,,,,,,,,
465,,120.0,(1)えび,4%,,2%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG
466,,190.0,(2)その他のもの,10%,,7%,,無税,無税,無税,無税,無税,無税,無税,無税,1.3%,無税,1.9%,1.9%,3.2%,1.8%,無税,6.4%,,KG
467,,,2 くん製したもの,,,,,,,,,,,,,,,,,,,,,,
468,,510.0,(1)えび,4.8%,,(4.8%),3.2%,無税,,無税,,,,,,4.8%,無税,,無税,1.5%,,無税,4.4%,,KG
469,,590.0,(2)その他のもの,9.6%,,(9.6%),7.2%,無税,無税,無税,無税,0.7%,無税,無税,無税,無税,無税,2.6%,無税,3.3%,3.3%,無税,8.7%,,KG
470,,,3 その他のもの,,,,,,,,,,,,,,,,,,,,,,
471,,220.0,(1)えび,6%,,5%,4%,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,1.4%,無税,1.8%,無税,無税,4.5%,,KG
472,,290.0,(2)その他のもの,15%,,10%,,無税,無税,無税,無税,無税,0.9%,無税,無税,1.8%,無税,2.7%,無税,4.5%,2.5%,無税,9.1%,,KG
473,3.07,,軟体動物（生きているもの、生鮮のもの及び冷蔵し、冷凍し、乾燥し、塩蔵し又は塩水漬けしたものに限るものとし、殻を除いてあるかないかを問わない。）、くん製した軟体動物（殻を除いてあるかないか又はくん製する前に若しくはくん製する際に加熱による調理をしてあるかないかを問わない。）並びに軟体動物の粉、ミール及びペレット（食用に適するものに限る。）,,,,,,,,,,,,,,,,,,,,,,
474,,,かき,,,,,,,,,,,,,,,,,,,,,,
475,307.11,0.0,生きているもの、生鮮のもの及び冷蔵したもの,10%,,7%,,無税,,無税,,,,,,5.4%,無税,,,,無税,無税,6.4%,,KG
476,307.19,,その他のもの,,,,,,,,,,,,,,,,,,,,,,
477,,100.0,1 冷凍したもの,10%,,7%,,無税,,無税,,,,,,5.4%,無税,,,,無税,無税,6.4%,,KG
478,,,2 くん製したもの,9.6%,,6.7%,,無税,,,,,,,,,,,,,,,,,
479,,210.0,－ 貝柱,,,,,,,無税,無税,,,,,5.3%,無税,,無税,,3%,無税,6.1%,,KG
480,,290.0,－ その他のもの,,,,6.4%,,無税,無税,無税,,無税,無税,無税,無税,無税,,無税,2.9%,無税,無税,6.1%,,KG
481,,300.0,3 その他のもの,15%,,10.5%,,無税,無税,無税,無税,,1%,無税,無税,1.9%,無税,,2.9%,,無税,無税,9.5%,,KG
482,,,スキャロップ（ペクテン属、クラミュス属又はプラコペクテン属のもの。いたや貝を含む。）,,,,,,,,,,,,,,,,,,,,,,
483,307.21,0.0,生きているもの、生鮮のもの及び冷蔵したもの,10%,,,,,,,,,,,,,,,,,,,,,KG
484,307.29,,その他のもの,,,,,,,,,,,,,,,,,,,,,,
485,,100.0,1 冷凍したもの,10%,,,,,,,,,,,,,,,,,,,,,KG
486,,500.0,2 くん製したもの,9.6%,,6.7%,,無税,,無税,無税,,,,,5.3%,無税,,無税,,3%,無税,,,KG
487,,200.0,3 その他のもの,15%,,,,,,,,,,,,,,,,,,,,,KG
488,,,い貝（ミュティルス属又はペルナ属のもの）,,,,,,,,,,,,,,,,,,,,,,
489,307.31,0.0,生きているもの、生鮮のもの及び冷蔵したもの,10%,,7%,,無税,,無税,,,,,,5.4%,無税,,無税,3.2%,3.2%,無税,6.4%,,KG
490,307.39,,その他のもの,,,,,,,,,,,,,,,,,,,,,,
491,,100.0,1 冷凍したもの,10%,,7%,,無税,,無税,,0.6%,,,,5.4%,無税,,無税,3.2%,3.2%,無税,6.4%,,KG
492,,,2 くん製したもの,9.6%,,6.7%,,無税,,,,,,,,,,,,,,,,,
493,,510.0,－ 貝柱,,,,,,,無税,無税,,,,,5.3%,無税,,無税,,3%,無税,,,KG
494,,590.0,－ その他のもの,,,,6.4%,,無税,無税,無税,,無税,無税,無税,無税,無税,,無税,2.9%,無税,無税,6.1%,,KG
495,,200.0,3 その他のもの,15%,,10%,,無税,無税,無税,無税,,0.9%,無税,無税,1.8%,無税,,2.7%,4.5%,4.5%,無税,9.1%,,KG
496,,,いか（セピア・オフィキナリス、ロシア・マクロソマ及びセピオラ属、オムマストリフェス属、ロリゴ属、ノトトダルス属又はセピオティウチス属のもの）,,,,,,,,,,,,,,,,,,,,,,
497,307.41,,生きているもの、生鮮のもの及び冷蔵したもの,10%,,,,,,,,,,,,,,,,,,,,,
498,,10.0,－ もんごういか（セピア・オフィキナリス）,,,3.5%,,無税,,無税,,,,,,3.5%,,,,,,無税,,,KG
499,,90.0,－ その他のもの,,,5%,,,,4%,,,,,,,,,,,,4%,,,KG
500,307.49,,その他のもの,,,,,,,,,,,,,,,,,,,,,,
501,,,1 冷凍したもの,10%,,,,,,,,,,,,,,,,,,,,,
502,,110.0,－ もんごういか（セピア・オフィキナリス）,,,3.5%,,無税,,無税,,,無税,,,3.5%,,,,,無税,無税,,,KG
503,,120.0,－ あかいか（オムマストリフェス・バルトラミ）,,3.5%,(5%),,,,3%,,,,,,,,,,,3%,3%,,,KG
504,,190.0,－ その他のもの,,3.5%,(5%),,,,3%,,,,,,,,,,,3%,3%,,,KG
505,,500.0,2 くん製したもの,9.6%,,6.7%,,無税,,無税,無税,,,,,5.3%,無税,,無税,,3%,無税,,,KG
506,,,3 その他のもの,15%,,,,,,,,,,,,,,,,,,,,,
507,,210.0,－ もんごういか（セピア・オフィキナリス）,,,,,無税,,,,,,,,,,,,,,,,,KG
508,,290.0,－ その他のもの,,,,,,,,,,,,,,,,,,,,,,KG
509,,,たこ（オクトプス属のもの）,,,,,,,,,,,,,,,,,,,,,,
510,307.51,0.0,生きているもの、生鮮のもの及び冷蔵したもの,10%,,7%,5%,無税,,無税,,無税,,無税,,5.4%,無税,,,,無税,無税,6.4%,,KG
511,307.59,,その他のもの,,,,,,,,,,,,,,,,,,,,,,
512,,100.0,1 冷凍したもの,10%,,7%,5%,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,1.9%,無税,1.3%,無税,無税,6.4%,,KG
513,,500.0,2 くん製したもの,9.6%,,6.7%,6.4%,無税,無税,無税,無税,,無税,無税,無税,無税,無税,,無税,2.9%,無税,無税,6.1%,,KG
514,,200.0,3 その他のもの,15%,,10%,,無税,無税,無税,無税,無税,0.9%,無税,無税,無税,無税,2.7%,無税,2.5%,無税,無税,9.1%,,KG
515,307.6,,かたつむりその他の巻貝（海棲のものを除く。）,,,,,,,,,,,,,,,,,,,,,,
516,,100.0,1 生きているもの、生鮮のもの及び冷蔵し又は冷凍したもの,10%,,7%,,無税,無税,無税,無税,無税,無税,無税,無税,1.3%,無税,1.9%,1.9%,3.2%,1.8%,無税,6.4%,,KG
517,,500.0,2 くん製したもの,9.6%,,6.7%,6.4%,無税,無税,無税,無税,,無税,無税,無税,無税,無税,,無税,2.9%,無税,無税,6.1%,,KG
518,,200.0,3 その他のもの,15%,,10%,,無税,無税,無税,無税,無税,0.9%,無税,無税,1.8%,無税,2.7%,2.7%,4.5%,2.5%,無税,9.1%,,KG
519,,,クラム、コックル及びアークシェル（ふねがい科、アイスランドがい科、ざるがい科、ふじのはながい科、きぬまといがい科、ばかがい科、ちどりますおがい科、おおのがい科、あさじがい科、きぬたあげまきがい科、まてがい科、しやこがい科又はまるすだれがい科のもの）,,,,,,,,,,,,,,,,,,,,,,
520,307.71,,生きているもの、生鮮のもの及び冷蔵したもの,,,,,,,,,,,,,,,,,,,,,,
521,,100.0,1 貝柱,10%,,,,,,,,,,,,,,,,,,,,,KG
522,,200.0,2 はまぐり,5%,,3.5%,,無税,,無税,,,,,,3.5%,無税,,,,無税,無税,3.2%,,KG
523,,,3 その他のもの,10%,,7%,,無税,,,,,,,,,,,,,,,,,
524,,310.0,－ 赤貝（生きているものに限る。）,,,,,,,無税,,,,無税,,5.4%,無税,,,,無税,無税,6.4%,,KG
525,,320.0,－ あさり,,,,,,,無税,,,,,,5.4%,無税,,無税,,無税,無税,6.4%,,KG
526,,390.0,－ その他のもの,,,,,,,,,,,,,,,,,,,,,,KG
527,307.79,,その他のもの,,,,,,,,,,,,,,,,,,,,,,
528,,,1 冷凍したもの,,,,,,,,,,,,,,,,,,,,,,
529,,110.0,(1)貝柱,10%,,,,,,,,,,,,,,,,,,,,,KG
530,,120.0,(2)はまぐり,5%,,3.5%,,無税,,無税,,,無税,,,3.5%,無税,,無税,1.6%,無税,無税,3.2%,,KG
531,,,(3)その他のもの,10%,,7%,,無税,,,,,,,,,,,,,,,,,
532,,131.0,－ あさり,,,,,,,無税,,,無税,,,5.4%,無税,,無税,,無税,無税,6.4%,,KG
533,,139.0,－ その他のもの,,,,,,,,,,,,,,,,,,3.2%,,,,KG
534,,,2 くん製したもの,9.6%,,6.7%,,無税,,,,,,,,,,,,,,,,,
535,,210.0,－ 貝柱,,,,,,,無税,無税,,,,,5.3%,無税,,無税,,3%,無税,,,KG
536,,290.0,－ その他のもの,,,,6.4%,,無税,無税,無税,,無税,無税,無税,無税,無税,,無税,2.9%,無税,無税,6.1%,,KG
537,,,3 その他のもの,,,,,,,,,,,,,,,,,,,,,,
538,,310.0,(1)貝柱,15%,,,,,,,,,,,,,,,,,,,,,KG
539,,320.0,(2)はまぐり（塩蔵し又は塩水漬けしたものに限る。）,7.5%,,5.3%,,無税,無税,無税,無税,,無税,無税,無税,1%,無税,,無税,2.4%,無税,無税,4.8%,,KG
540,,,(3)その他のもの,15%,,,,無税,,,,,,,,,,,,,,,,,
541,,331.0,－ はまぐり（乾燥したものに限る。）,,,10%,9%,,無税,無税,無税,,無税,無税,無税,1.8%,無税,,2.5%,4.1%,無税,無税,9.1%,,KG
542,,339.0,－ その他のもの,,,10.5%,,,,,,,,,,,,,,,,,,,KG
543,,,あわび（ハリオティス属のもの）,,,,,,,,,,,,,,,,,,,,,,
544,307.81,0.0,生きているもの、生鮮のもの及び冷蔵したもの,10%,,7%,,無税,,無税,,,,,,5.4%,無税,,,,無税,無税,6.4%,,KG
545,307.89,,その他のもの,,,,,,,,,,,,,,,,,,,,,,
546,,100.0,1 冷凍したもの,10%,,7%,,無税,無税,無税,無税,,無税,,無税,1.3%,無税,,1.9%,,無税,無税,6.4%,,KG
547,,200.0,2 くん製したもの,9.6%,,6.7%,6.4%,無税,無税,無税,無税,,無税,無税,無税,無税,無税,,無税,2.9%,無税,無税,6.1%,,KG
548,,300.0,3 その他のもの,15%,,10.5%,,無税,,,,,,,,,,,,,,,,,KG
549,,,その他のもの（軟体動物の粉、ミール及びペレット（食用に適するものに限る。）を含む。）,,,,,,,,,,,,,,,,,,,,,,
550,307.91,,生きているもの、生鮮のもの及び冷蔵したもの,10%,,,,,,,,,,,,,,,,,,,,,
551,,10.0,－ 貝柱,,,,,,,,,,,,,,,,,,,,,,KG
552,,,－ いか,,,,,,,,,,,,,,,,,,,,,,
553,,21.0,－－ もんごういか,,,3.5%,,無税,,無税,,,無税,,,3.5%,,,,,,無税,,,KG
554,,29.0,－－ その他のもの,,,5%,,,,4%,,,,,,,,,,,,4%,,,KG
555,,,－ その他のもの,,,7%,,,,,,,,,,,,,,,,,,,
556,,91.0,－－ スキャロップ（いたやがい科のもの）,,,,,,,,,,,,,,,,,,,,,,KG
557,,,－－ その他のもの,,,,,無税,,,,,,,,,,,,,,,,,
558,,92.0,－－－ しじみ,,,,,,,無税,,,無税,,,5.4%,無税,,,,無税,無税,6.4%,,KG
559,,99.0,－－－ その他のもの,,,,,,,,,,,,,,,,,,,,,,KG
560,307.99,,その他のもの,,,,,,,,,,,,,,,,,,,,,,
561,,,1 冷凍したもの,10%,,,,,,,,,,,,,,,,,,,,,
562,,110.0,－ 貝柱,,,,,,,,,,,,,,,,,,,,,,KG
563,,,－ いか,,,,,,,,,,,,,,,,,,,,,,
564,,121.0,－－ もんごういか,,,3.5%,,無税,,無税,,,無税,,,3.5%,,,,,無税,無税,,,KG
565,,129.0,－－ その他のもの,,,5%,,,,,,,,,,,,,,,アメリカおおあかいか(ドシディクス・ギガス)(全形のもの及び断片状のもので、1個の重量が1キログラム以上のものに限るものとし、粉状、ミール状又はペレット状のものを除く。)　2.3%,,,,KG
566,,,－ その他のもの,,,7%,,,,,,,,,,,,,,,,,,,
567,,131.0,－－ スキャロップ（いたやがい科のもの）,,,,,,,,,,,,,,,,,,,,,,KG
568,,,－－ その他のもの,,,,,無税,,,,,,,,,,,,,,,,,
569,,132.0,－－－ しじみ,,,,,,,無税,,,無税,,,5.4%,無税,,,,無税,無税,6.4%,,KG
570,,139.0,－－－ その他のもの,,,,,,,,,,,,,,,,,,3.2%,,,,KG
571,,,2 くん製したもの,9.6%,,6.7%,,無税,,,,,,,,,,,,,,,,,
572,,210.0,－ いか、スキャロップ（いたやがい科のもの）及び貝柱,,,,,,,無税,無税,,,,,5.3%,無税,,無税,,3%,無税,,,KG
573,,290.0,－ その他のもの,,,,6.4%,,無税,無税,無税,,無税,無税,無税,無税,無税,,無税,2.9%,無税,無税,6.1%,,KG
574,,,3 その他のもの,15%,,,,,,,,,,,,,,,,,,,,,
575,,,－ いか（もんごういかを除く。）、スキャロップ（いたやがい科のもの）及び貝柱,,,,,,,,,,,,,,,,,,,,,,
576,,310.0,－－ いか（もんごういかを除く。）,,,,,,,,,,,,,,,,,,,,,,KG
577,,320.0,－－ スキャロップ（いたやがい科のもの）,,,10.5%,,,,,,,,,,,,,,,,,,,KG
578,,330.0,－－ 貝柱,,,,,,,,,,,,,,,,,,,,,,KG
579,,,－ その他のもの,,,,,無税,,,,,,,,,,,,,,,,,
580,,391.0,－－ もんごういか,,,,,,,,,,,,,,,,,,,,,,KG
581,,399.0,－－ その他のもの,,,10.5%,,,,,,,,,,,,,,,,,,,KG
582,3.08,,水棲無脊椎動物（生きているもの、生鮮のもの及び冷蔵し、冷凍し、乾燥し、塩蔵し又は塩水漬けしたものに限るものとし、甲殻類及び軟体動物を除く。）、くん製した水棲無脊椎動物（甲殻類及び軟体動物を除くものとし、くん製する前に又はくん製する際に加熱による調理をしてあるかないかを問わない。）並びに水棲無脊椎動物の粉、ミール及びペレット（甲殻類及び軟体動物を除くものとし、食用に適するものに限る。）,,,,,,,,,,,,,,,,,,,,,,
583,,,なまこ（スティコプス・ヤポニクス及びなまこ綱のもの）,,,,,,,,,,,,,,,,,,,,,,
584,308.11,,生きているもの、生鮮のもの及び冷蔵したもの,,,,,,,,,,,,,,,,,,,,,,
585,,100.0,1 生きているもの,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG
586,,200.0,2 その他のもの,10%,,7%,,無税,無税,無税,無税,無税,無税,無税,無税,1.3%,無税,1.9%,1.9%,3.2%,1.8%,無税,6.4%,,KG
587,308.19,,その他のもの,,,,,,,,,,,,,,,,,,,,,,
588,,100.0,1 くん製したもの,9.6%,,6.7%,6.4%,無税,無税,無税,無税,,無税,無税,無税,無税,無税,,無税,2.9%,無税,無税,6.1%,,KG
589,,200.0,2 その他のもの,10%,,7%,,無税,無税,無税,無税,冷凍したもの　0.6%,無税,,無税,1.3%,無税,1.9%,冷凍したもの　無税 その他のもの　1.9%,3.2%,冷凍したもの　3.2% その他のもの　無税,無税,6.4%,,KG
590,,,うに（パラケントロトゥス・リヴィドゥス、ロクセキヌス・アルブス、エキキヌス・エスクレントゥス及びストロンギュロケントロトゥス属のもの）,,,,,,,,,,,,,,,,,,,,,,
591,308.21,,生きているもの、生鮮のもの及び冷蔵したもの,,,,,,,,,,,,,,,,,,,,,,
592,,100.0,1 生きているもの,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG
593,,200.0,2 その他のもの,10%,,7%,,無税,,無税,,,,無税,,5.4%,無税,,,,無税,無税,6.4%,,KG
594,308.29,,その他のもの,,,,,,,,,,,,,,,,,,,,,,
595,,100.0,1 くん製したもの,9.6%,,6.7%,6.4%,無税,無税,無税,無税,,無税,無税,無税,無税,無税,,無税,2.9%,無税,無税,6.1%,,KG
596,,,2 その他のもの,10%,,7%,,無税,,,,,,,,,,,,,,,,,
597,,210.0,－ 冷凍したもの,,,,,,,,,2.6%,,無税,,5.4%,無税,,,,無税,1.8%,6.4%,,KG
598,,290.0,－ その他のもの,,,,,,,,,,,無税,,5.4%,無税,,,,無税,3.5%,6.4%,,KG
599,308.3,,くらげ（ロピレマ属のもの）,,,,,,,,,,,,,,,,,,,,,,
600,,100.0,1 生きているもの,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG
601,,200.0,2 くん製したもの,9.6%,,6.7%,6.4%,無税,無税,無税,無税,,無税,無税,無税,無税,無税,,無税,2.9%,無税,無税,6.1%,,KG
602,,300.0,3 その他のもの,10%,,7%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,1.9%,無税,3.2%,生鮮のもの、冷蔵したのもの及び冷凍したもの　無税 その他のもの　1.8%,無税,6.4%,,KG
603,308.9,,その他のもの,,,,,,,,,,,,,,,,,,,,,,
604,,100.0,1 生きているもの,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG
605,,,2 生鮮のもの、冷蔵したもの及び冷凍したもの,10%,,7%,,無税,,,,,,,,,,,,,,,,,
606,,,－ 生鮮のもの及び冷蔵したもの,,,,,,,,,,,,,,,,,,,,,,
607,,211.0,－－ うに,,,,,,,無税,,,,無税,,5.4%,無税,,,,無税,無税,6.4%,,KG
608,,219.0,－－ その他のもの,,,,,,無税,無税,無税,無税,無税,無税,無税,くらげ　無税 その他のもの　1.3%,無税,1.9%,くらげ　無税 その他のもの　1.9%,3.2%,くらげ　無税 その他のもの　1.8%,無税,6.4%,,KG
609,,,－ 冷凍したもの,,,,,,,,,,,,,,,,,,,,,,
610,,291.0,－－ うに,,,,,,,,,2.6%,,無税,,5.4%,無税,,,,無税,1.8%,6.4%,,KG
611,,299.0,－－ その他のもの,,,,,,くらげ　無税,くらげ　無税,くらげ　無税,くらげ　無税,くらげ　無税,くらげ　無税,くらげ　無税,くらげ　無税,くらげ　無税,くらげ　1.9%,くらげ　無税,くらげ　3.2%,くらげ　無税 その他のもの　3.2%,くらげ　無税,くらげ　6.4%,,KG
612,,300.0,3 くん製したもの,9.6%,,6.7%,6.4%,無税,無税,無税,無税,,無税,無税,無税,無税,無税,,無税,2.9%,無税,無税,6.1%,,KG
613,,,4 その他のもの,,,,,,,,,,,,,,,,,,,,,,
614,,,(1)うに及びくらげ,10%,,7%,,無税,,,,,,,,,,,,,,,,,
615,,411.0,－ うに,,,,,,,,,,,無税,,5.4%,無税,,,,無税,3.5%,6.4%,,KG
616,,412.0,－ くらげ,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,1.9%,無税,3.2%,1.8%,無税,6.4%,,KG
617,,420.0,(2)その他のもの,15%,,10.5%,,無税,,,,,,,,,,,,,,,,,KG
0,4.01,,ミルク及びクリーム（濃縮若しくは乾燥をし又は砂糖その他の甘味料を加えたものを除く。）,,,,,,,,,,,,,,,,,,,,,,
1,401.1,,脂肪分が全重量の1％以下のもの,,,,,,,,,,,,,,,,,,,,,,
2,,,1 滅菌し、冷凍し又は保存に適する処理をしたもの,25%＋63円/kg,,,,無税,,,,,,,,,,,,,,,,,
3,,110.0,"－ この号の1、第0401.20号の1、第0401.40号の1並びに第0401.50号の1の(1)及び(2)に掲げるミルク及びクリーム、第0403.10号の1並びに第0403.90号の1の(1)の*〔2〕、(2)の*〔2〕及び(3)の*〔2〕に掲げるバターミルク等、第0404.90号の1の(1)の*〔1〕及び*〔2〕、(2)の*〔1〕及び*〔2〕並びに(3)の*〔1〕及び*〔2〕に掲げるミルクの天然の組成分から成る物品、第1806.20号の1の(1)及び第1806.90号の2の(1)のAに掲げるココアを含有する調製食料品、第1901.10号の1の(1)及び(2)、第1901.20号の1の(1)のA及びB並びに第1901.90号の1の(1)のA及びBに掲げる調製食料品、第2101.12号の2の(1)のA及びB並びに第2101.20号の2の(1)のA及びBに掲げるコーヒー等をもととした調製品並びに第2106.10号の1並びに第2106.90号の1の(1)及び(2)に掲げる調製食料品について、133,940トン（全乳換算数量とし、政令で定めるところにより換算するものとする。）を基準とし、前年度における輸入数量、国際市況その他の条件を勘案して政令で定める数量（以下この項、第04.03項、第04.04項、第18.06項、第19.01項、第21.01項及び第21.06項において「その他の乳製品に係る共通の限度数量」という。）以内のもの",,25%,(25%),,,,,,,,,,,,,,,,,,,KG
4,,190.0,－ その他のもの,,,21.3%＋54円/kg,,,,,,,,,,,,,,,,,,,KG
5,,200.0,2 その他のもの,25%,,21.3%,,無税,,,,,,,,21.3%,,,,,,,,,KG
6,401.2,,脂肪分が全重量の1％を超え6％以下のもの,,,,,,,,,,,,,,,,,,,,,,
7,,,1 滅菌し、冷凍し又は保存に適する処理をしたもの,25%＋134円/kg,,,,無税,,,,,,,,,,,,,,,,,
8,,110.0,－ その他の乳製品に係る共通の限度数量以内のもの,,25%,(25%),,,,,,,,,,,,,,,,,,,KG
9,,190.0,－ その他のもの,,,21.3%＋114円/kg,,,,,,,,,,,,,,,,,,,KG
10,,200.0,2 その他のもの,25%,,21.3%,,無税,,,,,,,,21.3%,,,,,,,,,KG
11,401.4,,脂肪分が全重量の6％を超え10％以下のもの,,,,,,,,,,,,,,,,,,,,,,
12,,,1 滅菌し、冷凍し又は保存に適する処理をしたもの,25%＋747円/kg,,,,無税,,,,,,,,,,,,,,,,,
13,,110.0,－ その他の乳製品に係る共通の限度数量以内のもの,,25%,(25%),,,,,,,,,,,,,,,,,,,KG
14,,190.0,－ その他のもの,,,21.3%＋635円/kg,,,,,,,,,,,,,,,,,,,KG
15,,200.0,2 その他のもの,25%,,21.3%,,無税,,,,,,,,21.3%,,,,,,,,,KG
16,401.5,,脂肪分が全重量の10％を超えるもの,,,,,,,,,,,,,,,,,,,,,,
17,,,1 滅菌し、冷凍し又は保存に適する処理をしたもの及び脂肪分が全重量の13％以上のクリーム（滅菌し、冷凍し又は保存に適する処理をしたものを除く。）,,,,,,,,,,,,,,,,,,,,,,
18,,,(1)脂肪分が全重量の45％以下のもの,25%＋747円/kg,,,,無税,,,,,,,,,,,,,,,,,
19,,111.0,－ その他の乳製品に係る共通の限度数量以内のもの,,25%,(25%),,,,,,,,,,,,,,,,,,,KG
20,,119.0,－ その他のもの,,,21.3%＋635円/kg,,,,,,,,,,,,,,,,,,,KG
21,,,(2)その他のもの,"25%＋1,411円/kg",,,,無税,,,,,,,,,,,,,,,,,
22,,121.0,－ その他の乳製品に係る共通の限度数量以内のもの,,25%,(25%),,,,,,,,,,,,,,,,,,,KG
23,,129.0,－ その他のもの,,,"21.3%＋1,199円/kg",,,,,,,,,,,,,,,,,,,KG
24,,200.0,2 その他のもの,25%,,21.3%,,無税,,,,,,,,21.3%,,,,,,,,,KG
25,4.02,,ミルク及びクリーム（濃縮若しくは乾燥をし又は砂糖その他の甘味料を加えたものに限る。）,,,,,,,,,,,,,,,,,,,,,,
26,402.1,,粉状、粒状その他の固形状のもの（脂肪分が全重量の1.5％以下のものに限る。）,,,,,,,,,,,,,,,,,,,,,,
27,,,1 砂糖を加えたもの,(35%＋466円/kg),,,,無税,,,,,,,,,,,,,,,,,
28,,110.0,*〔1〕独立行政法人農畜産業振興機構が加工原料乳生産者補給金等暫定措置法第13条第1項に規定する数量の範囲内で輸入するもの及び同条第2項に規定する農林水産大臣の承認を受けて輸入するもの,,35%,(35%),,,,,,,,,,,,,,,,,,,KG
29,,,*〔2〕その他のもの,,,,,,,,,,,,,,,,,,,,,,
30,,121.0,"－ この号の1の*〔2〕並びに2の(1)の*〔2〕及び(2)の*〔2〕、第0402.21号の2の(1)及び(2)の*〔2〕並びに第0402.29号の2の*〔2〕に掲げる粉状、粒状その他の固形状のミルク及びクリームについて、74,973トンを基準とし、当該年度における国内需要見込数量、国際市況その他の条件を勘案して政令で定める数量（以下この項において「学校等給食用以外の脱脂粉乳に係る共通の限度数量」という。）以内のもの",,35%,(35%),,,,,,,,,,,,,,,,,,,KG
31,,129.0,－ その他のもの,,29.8%＋92円/kg,*(29.8%＋396円/kg),,,,,,,,,,,,,,,,,,,KG
32,,,2 その他のもの,,,,,,,,,,,,,,,,,,,,,,
33,,,(1)小学校（義務教育学校の前期課程を含む。）、中学校（義務教育学校の後期課程及び中等教育学校の前期課程を含む。）、夜間において授業を行う課程を置く高等学校（中等教育学校の後期課程を含む。）、特別支援学校若しくは幼稚園の児童、生徒若しくは幼児又は政令で定める児童福祉施設の児童の給食の用に供されるもの（以下この項において「学校等給食用のもの」という。）及び配合飼料のうち政令で定めるものの製造に使用するためのもの（以下この項において「飼料用のもの」という。）,(466円/kg),,,,,,,,,,,,,,,,,,,,,
34,,,*〔1〕学校等給食用のもの,,,,,,,,,,,,,,,,,,,,,,
35,,211.0,"－ この号の2の(1)の*〔1〕及び第0402.21号の2の(1)に掲げる粉状、粒状その他の固形状のミルク及びクリームのうち学校等給食用のものについて、7,264トンを基準とし、当該年度における国内需要見込数量、国際市況その他の条件を勘案して政令で定める数量（以下この項において「学校等給食用の脱脂粉乳に係る共通の限度数量」という。）以内のもの",,◎無税,(無税),,,,,,,,,,,,,,,,,,,KG
36,,212.0,－ その他のもの,,92円/kg,*(396円/kg),,無税,,,,,,,,,,,,,,,,,KG
37,,,*〔2〕飼料用のもの,,,,,,,,,,,,,,,,,,,,,,
