,統計番号Statistical code,統計番号Statistical code,品名Description,関税率Tariff rate,関税率Tariff rate,関税率Tariff rate,関税率Tariff rate,関税率Tariff rate,関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),単位Unit,単位Unit
18,,390.0,－ その他のもの,,54円/kg,*(375円/kg),,,,,,,,,,,,,,,MT
19,,900.0,4 その他のもの,25%,,21.3%,,無税,13.6%,,11.6%,13.6%,13.6%,15.5%,15.5%,15.5%,15.5%,17.4%,17.4%,,MT
20,11.03,,ひき割り穀物、穀物のミール及びペレット,,,,,,,,,,,,,,,,,,
21,,,ひき割り穀物及び穀物のミール,,,,,,,,,,,,,,,,,,
22,1103.11,,小麦のもの,(106円/kg),,,,無税,,,,,,,,,,,,,
23,,10.0,－ 政府が主要食糧の需給及び価格の安定に関する法律第42条の規定により輸入するもの、同法第43条の規定による連名による申込みに応じて行う政府の買入れ及び売渡しに係る麦等として輸入されるもの並びに同法第45条第1項第3号に規定する政令で定める麦等のうち政令で定めるところにより農林水産大臣の証明を受けて輸入されるもの,,25%,(25%),,,,,,,,,,,,,,,MT
24,,90.0,－ その他のもの,,27.40円/kg,*(90円/kg),,,,,,,,,,,,,,,MT
25,1103.13,0.0,とうもろこしのもの,25%,,21.3%,,無税,,,,,,,,21.3%,19.2%,,,,MT
26,1103.19,,その他の穀物のもの,,,,,,,,,,,,,,,,,,
27,,,1 大麦又は裸麦のもの,(98円/kg),,,,無税,,,,,,,,,,,,,
28,,110.0,－ 政府が主要食糧の需給及び価格の安定に関する法律第42条の規定により輸入するもの、同法第43条の規定による連名による申込みに応じて行う政府の買入れ及び売渡しに係る麦等として輸入されるもの並びに同法第45条第1項第3号に規定する政令で定める麦等のうち政令で定めるところにより農林水産大臣の証明を受けて輸入されるもの,,20%,(20%),,,,,,,,,,,,,,,MT
29,,190.0,－ その他のもの,,31円/kg,*(83円/kg),,,,,,,,,,,,,,,MT
30,,,2 ライ小麦のもの,(106円/kg),,,,無税,,,,,,,,,,,,,
31,,210.0,－ 政府が主要食糧の需給及び価格の安定に関する法律第42条の規定により輸入するもの、同法第43条の規定による連名による申込みに応じて行う政府の買入れ及び売渡しに係る麦等として輸入されるもの並びに同法第45条第1項第3号に規定する政令で定める麦等のうち政令で定めるところにより農林水産大臣の証明を受けて輸入されるもの,,20%,(20%),,,,,,,,,,,,,,,MT
32,,290.0,－ その他のもの,,27.40円/kg,*(90円/kg),,,,,,,,,,,,,,,MT
33,,400.0,3 オートのもの,20%,,12%,6%,無税,7.6%,,3.3%,3.8%,3.8%,4.4%,8.7%,8.7%,4.4%,9.8%,4.9%,,MT
34,,,4 米のもの,(442円/kg),,,,,,,,,,,,,,,,,
35,,510.0,－ 政府が主要食糧の需給及び価格の安定に関する法律第30条の規定により輸入するもの、同法第31条の規定による連名による申込みに応じて行う政府の買入れ及び売渡しに係る米穀等として輸入されるもの並びに同法第34条第1項第3号に規定する政令で定める米穀等のうち政令で定めるところにより農林水産大臣の証明を受けて輸入されるもの,,25%,(25%),,,,,,,,,,,,,,,MT
36,,590.0,－ その他のもの,,54円/kg,*(375円/kg),,,,,,,,,,,,,,,MT
37,,300.0,5 その他のもの,20%,,17%,8.5%,無税,10.8%,,4.6%,5.4%,5.4%,6.2%,12.4%,12.4%,6.2%,13.9%,7.0%,,MT
38,1103.2,,ペレット,,,,,,,,,,,,,,,,,,
39,,,1 小麦のもの,(106円/kg),,,,無税,,,,,,,,,,,,,
40,,110.0,－ 政府が主要食糧の需給及び価格の安定に関する法律第42条の規定により輸入するもの、同法第43条の規定による連名による申込みに応じて行う政府の買入れ及び売渡しに係る麦等として輸入されるもの並びに同法第45条第1項第3号に規定する政令で定める麦等のうち政令で定めるところにより農林水産大臣の証明を受けて輸入されるもの,,25%,(25%),,,,,,,,,,,,,,,MT
41,,190.0,－ その他のもの,,27.40円/kg,*(90円/kg),,,,,,,,,,,,,,,MT
42,,200.0,2 オートのもの,20%,,12%,6%,無税,7.6%,,3.3%,3.8%,3.8%,4.4%,8.7%,8.7%,4.4%,9.8%,4.9%,,MT
43,,,3 とうもろこし又は米のもの,,,,,,,,,,,,,,,,,,
44,,310.0,(1)とうもろこしのもの,25%,,21.3%,,無税,13.6%,,11.6%,13.6%,13.6%,15.5%,15.5%,15.5%,15.5%,17.4%,17.4%,,MT
45,,,(2)米のもの,(442円/kg),,,,,,,,,,,,,,,,,
46,,350.0,－ 政府が主要食糧の需給及び価格の安定に関する法律第30条の規定により輸入するもの、同法第31条の規定による連名による申込みに応じて行う政府の買入れ及び売渡しに係る米穀等として輸入されるもの並びに同法第34条第1項第3号に規定する政令で定める米穀等のうち政令で定めるところにより農林水産大臣の証明を受けて輸入されるもの,,25%,(25%),,,,,,,,,,,,,,,MT
47,,390.0,－ その他のもの,,54円/kg,*(375円/kg),,,,,,,,,,,,,,,MT
48,,,4 大麦又は裸麦のもの,(98円/kg),,,,無税,,,,,,,,,,,,,
49,,410.0,－ 政府が主要食糧の需給及び価格の安定に関する法律第42条の規定により輸入するもの、同法第43条の規定による連名による申込みに応じて行う政府の買入れ及び売渡しに係る麦等として輸入されるもの並びに同法第45条第1項第3号に規定する政令で定める麦等のうち政令で定めるところにより農林水産大臣の証明を受けて輸入されるもの,,20%,(20%),,,,,,,,,,,,,,,MT
50,,490.0,－ その他のもの,,31円/kg,*(83円/kg),,,,,,,,,,,,,,,MT
51,,,5 ライ小麦のもの,(106円/kg),,,,無税,,,,,,,,,,,,,
52,,510.0,－ 政府が主要食糧の需給及び価格の安定に関する法律第42条の規定により輸入するもの、同法第43条の規定による連名による申込みに応じて行う政府の買入れ及び売渡しに係る麦等として輸入されるもの並びに同法第45条第1項第3号に規定する政令で定める麦等のうち政令で定めるところにより農林水産大臣の証明を受けて輸入されるもの,,20%,(20%),,,,,,,,,,,,,,,MT
53,,590.0,－ その他のもの,,27.40円/kg,*(90円/kg),,,,,,,,,,,,,,,MT
54,,600.0,6 その他のもの,20%,,17%,8.5%,無税,10.8%,,4.6%,5.4%,5.4%,6.2%,12.4%,12.4%,6.2%,13.9%,7.0%,,MT
55,11.04,,その他の加工穀物（例えば、殻を除き、ロールにかけ、フレーク状にし、真珠形にとう精し、薄く切り又は粗くひいたもの。第10.06項の米を除く。）及び穀物の胚芽（全形のもの及びロールにかけ、フレーク状にし又はひいたものに限る。）,,,,,,,,,,,,,,,,,,
56,,,ロールにかけ又はフレーク状にした穀物,,,,,,,,,,,,,,,,,,
57,1104.12,0.0,オートのもの,20%,,12%,6%,無税,7.6%,,3.3%,3.8%,3.8%,4.4%,8.7%,8.7%,4.4%,9.8%,4.9%,,KG
58,1104.19,,その他の穀物のもの,,,,,,,,,,,,,,,,,,
59,,,1 小麦又はライ小麦のもの,(132円/kg),,,,無税,,,,,,,,,,,,,
60,,,*〔1〕小麦のもの,,,,,,,,,,,,,,,,,,
61,,111.0,－ 政府が主要食糧の需給及び価格の安定に関する法律第42条の規定により輸入するもの、同法第43条の規定による連名による申込みに応じて行う政府の買入れ及び売渡しに係る麦等として輸入されるもの並びに同法第45条第1項第3号に規定する政令で定める麦等のうち政令で定めるところにより農林水産大臣の証明を受けて輸入されるもの,,25%,(25%),,,,,,,,,,,,,,,KG
62,,119.0,－ その他のもの,,31.40円/kg,*(112円/kg),,,,,,,,,,,,,,,KG
63,,,*〔2〕ライ小麦のもの,,,,,,,,,,,,,,,,,,
64,,121.0,－ 政府が主要食糧の需給及び価格の安定に関する法律第42条の規定により輸入するもの、同法第43条の規定による連名による申込みに応じて行う政府の買入れ及び売渡しに係る麦等として輸入されるもの並びに同法第45条第1項第3号に規定する政令で定める麦等のうち政令で定めるところにより農林水産大臣の証明を受けて輸入されるもの,,20%,(20%),,,,,,,,,,,,,,,KG
65,,129.0,－ その他のもの,,31.40円/kg,*(112円/kg),,,,,,,,,,,,,,,KG
66,,,2 とうもろこし又は米のもの,,,,,,,,,,,,,,,,,,
67,,210.0,(1)とうもろこしのもの,25%,,21.3%,,無税,13.6%,,11.6%,13.6%,13.6%,15.5%,15.5%,15.5%,15.5%,17.4%,17.4%,,KG
68,,,(2)米のもの,(402円/kg),,,,,,,,,,,,,,,,,
69,,250.0,－ 政府が主要食糧の需給及び価格の安定に関する法律第30条の規定により輸入するもの、同法第31条の規定による連名による申込みに応じて行う政府の買入れ及び売渡しに係る米穀等として輸入されるもの並びに同法第34条第1項第3号に規定する政令で定める米穀等のうち政令で定めるところにより農林水産大臣の証明を受けて輸入されるもの,,25%,(25%),,,,,,,,,,,,,,,KG
70,,290.0,－ その他のもの,,49円/kg,*(341円/kg),,,,,,,,,,,,,,,KG
71,,,3 大麦又は裸麦のもの,(107円/kg),,,,無税,,,,,,,,,,,,,
72,,410.0,－ 政府が主要食糧の需給及び価格の安定に関する法律第42条の規定により輸入するもの、同法第43条の規定による連名による申込みに応じて行う政府の買入れ及び売渡しに係る麦等として輸入されるもの並びに同法第45条第1項第3号に規定する政令で定める麦等のうち政令で定めるところにより農林水産大臣の証明を受けて輸入されるもの,,20%,(20%),,,,,,,,,,,,,,,KG
73,,490.0,－ その他のもの,,33.20円/kg,*(91円/kg),,,,,,,,,,,,,,,KG
74,,300.0,4 その他のもの,20%,,17%,8.5%,無税,10.8%,,4.6%,5.4%,5.4%,6.2%,12.4%,12.4%,6.2%,13.9%,7.0%,,KG
75,,,その他の加工穀物（例えば、殻を除き、真珠形にとう精し、薄く切り又は粗くひいたもの）,,,,,,,,,,,,,,,,,,
76,1104.22,0.0,オートのもの,20%,,12%,6%,無税,7.6%,,3.3%,3.8%,3.8%,4.4%,8.7%,8.7%,4.4%,9.8%,4.9%,,KG
77,1104.23,,とうもろこしのもの,,,,,,,,,,,,,,,,,,
78,,10.0,1 コーンフレークの製造に使用するもの,◎16.2%,,(16.2%),,無税,10.3%,,8.8%,10.3%,10.3%,11.8%,11.8%,11.8%,11.8%,13.3%,13.3%,,KG
79,,90.0,2 その他のもの,25%,,18%,,無税,11.5%,,9.8%,11.5%,11.5%,13.1%,13.1%,13.1%,13.1%,14.7%,14.7%,,KG
80,1104.29,,その他の穀物のもの,,,,,,,,,,,,,,,,,,
81,,,1 小麦又はライ小麦のもの,(106円/kg),,,,無税,,,,,,,,,,,,,
82,,,*〔1〕小麦のもの,,,,,,,,,,,,,,,,,,
83,,111.0,－ 政府が主要食糧の需給及び価格の安定に関する法律第42条の規定により輸入するもの、同法第43条の規定による連名による申込みに応じて行う政府の買入れ及び売渡しに係る麦等として輸入されるもの並びに同法第45条第1項第3号に規定する政令で定める麦等のうち政令で定めるところにより農林水産大臣の証明を受けて輸入されるもの,,25%,(25%),,,,,,,,,,,,,,,KG
84,,119.0,－ その他のもの,,27.40円/kg,*(90円/kg),,,,,,,,,,,,,,,KG
85,,,*〔2〕ライ小麦のもの,,,,,,,,,,,,,,,,,,
86,,121.0,－ 政府が主要食糧の需給及び価格の安定に関する法律第42条の規定により輸入するもの、同法第43条の規定による連名による申込みに応じて行う政府の買入れ及び売渡しに係る麦等として輸入されるもの並びに同法第45条第1項第3号に規定する政令で定める麦等のうち政令で定めるところにより農林水産大臣の証明を受けて輸入されるもの,,20%,(20%),,,,,,,,,,,,,,,KG
87,,129.0,－ その他のもの,,27.40円/kg,*(90円/kg),,,,,,,,,,,,,,,KG
88,,,2 米のもの,(402円/kg),,,,,,,,,,,,,,,,,
89,,250.0,－ 政府が主要食糧の需給及び価格の安定に関する法律第30条の規定により輸入するもの、同法第31条の規定による連名による申込みに応じて行う政府の買入れ及び売渡しに係る米穀等として輸入されるもの並びに同法第34条第1項第3号に規定する政令で定める米穀等のうち政令で定めるところにより農林水産大臣の証明を受けて輸入されるもの,,25%,(25%),,,,,,,,,,,,,,,KG
90,,290.0,－ その他のもの,,49円/kg,*(341円/kg),,,,,,,,,,,,,,,KG
91,,,3 大麦又は裸麦のもの,(130円/kg),,,,無税,,,,,,,,,,,,,
92,,410.0,－ 政府が主要食糧の需給及び価格の安定に関する法律第42条の規定により輸入するもの、同法第43条の規定による連名による申込みに応じて行う政府の買入れ及び売渡しに係る麦等として輸入されるもの並びに同法第45条第1項第3号に規定する政令で定める麦等のうち政令で定めるところにより農林水産大臣の証明を受けて輸入されるもの,,20%,(20%),,,,,,,,,,,,,,,KG
93,,490.0,－ その他のもの,,38.60円/kg,*(111円/kg),,,,,,,,,,,,,,,KG
94,,,4 その他のもの,20%,,17%,,無税,10.8%,,9.3%,10.8%,10.8%,12.4%,12.4%,12.4%,12.4%,13.9%,13.9%,,
95,,310.0,－ そばのもの,,,,,,,,,,,,,,,,,,KG
96,,390.0,－ その他のもの,,,,,,,,,,,,,,,,,,KG
97,1104.3,0.0,穀物の胚芽（全形のもの及びロールにかけ、フレーク状にし又はひいたものに限る。）,20%,,17%,,無税,,,,,,,,17%,,,,,KG
98,11.05,,ばれいしよの粉、ミール、フレーク、粒及びペレット,,,,,,15.0%,,13.8%,12.7%,15.0%,16.3%,16.3%,16.2%,14.5%,17.5%,17.5%,,
99,1105.1,0.0,粉及びミール,25%,,20%,,無税,,,,,,,,,,,,,KG
100,1105.2,0.0,フレーク、粒及びペレット,20%,,(20%),,無税,,,,,,,,,,,,,KG
101,11.06,,乾燥した豆（第07.13項のものに限る。）、サゴやし又は根若しくは塊茎（第07.14項のものに限る。）の粉及びミール並びに第8類の物品の粉及びミール,,,,,,,,,,,,,,,,,,
102,1106.1,0.0,乾燥した豆（第07.13項のものに限る。）のもの,16%,,13.6%,,無税,,,,,,,,13.6%,,,,,KG
103,1106.2,,サゴやし又は根若しくは塊茎（第07.14項のものに限る。）のもの,25%,,,,無税,,,,,,,,,,,,,
104,,,－ カッサバ芋のもの,,,,,,,,,,,,,,,,,,
105,,110.0,－－ 飼料用のもの（税関の監督の下で飼料の原料として使用するものに限る。）,,,無税,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG
106,,190.0,－－ その他のもの,,,15%,,,,,,,,,,15%,,,,,KG
107,,200.0,－ その他のもの,,,21.3%,,,16.0%,,14.6%,13.6%,16.0%,17.3%,17.3%,17.3%,15.5%,18.6%,18.6%,,KG
108,1106.3,,第8類の物品のもの,25%,,,,無税,,,,,,,,,,,,,
109,,,－ バナナのもの,,,,,,,,,,,,,,,,,,
110,,110.0,－－ 飼料用のもの（税関の監督の下で飼料の原料として使用するものに限る。）,,,無税,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG
111,,190.0,－－ その他のもの,,,15%,,,9.5%,,8.2%,9.5%,9.5%,10.9%,10.9%,10.9%,10.9%,12.3%,12.3%,,KG
112,,200.0,－ その他のもの,,,15%,,,9.5%,,8.2%,9.5%,9.5%,10.9%,10.9%,10.9%,10.9%,12.3%,12.3%,,KG
113,11.07,,麦芽（いつてあるかないかを問わない。）,,,,,,,,,,,,,,,,,,
114,1107.1,,いつてないもの,25円/kg,,21.30円/kg,,,,,,,,,,,,,,,
115,,,－ この号のいつてない麦芽及び第1107.20号のいつた麦芽について、当該年度における国内需要見込数量から国内生産見込数量を控除した数量を基準とし、国際市況その他の条件を勘案して政令で定める数量（以下この項において「共通の限度数量」という。）以内のもの,,無税,,,,,,,,,,,,,,,,
116,,11.0,－－ 泥炭でくん蒸したもの,,,,,,,,,,,,,,,,,,MT
117,,21.0,－－ その他のもの,,,,,,,,,,,,,,,,,,MT
118,,,－ その他のもの,,,,,無税,,,,,,,,,,,,,
119,,19.0,－－ 泥炭でくん蒸したもの,,,,,,,,,,,,,,,,,,MT
120,,29.0,－－ その他のもの,,,,,,,,,,,,,,,,,,MT
121,1107.2,,いつたもの,25円/kg,,21.30円/kg,,,,,,,,,,,,,,,
122,,10.0,－ 共通の限度数量以内のもの,,無税,,,,,,,,,,,,,,,,MT
123,,20.0,－ その他のもの,,,,,無税,,,,,,,,,,,,,MT
124,11.08,,でん粉及びイヌリン,,,,,,,,,,,,,,,,,,
125,,,でん粉,,,,,,,,,,,,,,,,,,
126,1108.11,,小麦でん粉,(158円/kg),,,,無税,,,,,,,,,,,,,
127,,10.0,－ 政府が主要食糧の需給及び価格の安定に関する法律第42条の規定により輸入するもの、同法第43条の規定による連名による申込みに応じて行う政府の買入れ及び売渡しに係る麦等として輸入されるもの並びに同法第45条第1項第3号に規定する政令で定める麦等のうち政令で定めるところにより農林水産大臣の証明を受けて輸入されるもの,,25%,(25%),,,,,,,,,,,,,,,KG
128,,90.0,－ その他のもの,,34.40円/kg,*(134円/kg),,,,,,,,,,,,,,,KG
129,1108.12,,とうもろこしでん粉（コーンスターチ）,140円/kg,,,,,,,,,,,,,,,,,
130,,,"－ この号に掲げるとうもろこしでん粉（コーンスターチ）、第1108.13号に掲げるばれいしよでん粉、第1108.14号に掲げるマニオカ（カッサバ）でん粉、第1108.19号に掲げるその他のでん粉、第1108.20号に掲げるイヌリン、第1901.20号の1の(2)のDの（b）に掲げるベーカリー製品製造用の混合物等及び第1901.90号の1の(2)のDの（b）に掲げる調製食料品について、157,000トンを基準とし、当該年度における当該物品及びコーンスターチの製造に使用するとうもろこしの需給、国際市況その他の条件を勘案して政令で定める数量（以下この項及び第19.01項において「でん粉等に係る共通の限度数量」という。）以内のもの",,,(25%),,,,,,,,,,,,,,,
131,,10.0,－－ でん粉糖の製造又はデキストリン、デキストリングルー、可溶性でん粉、ばい焼でん粉若しくはスターチグルーの製造に使用するもの,,◎無税,,,,,,,,,,,,,,,,KG
132,,20.0,－－ その他のもの,,25%,,,,,,,,,,,,,,,,KG
133,,90.0,－ その他のもの,,,119円/kg,,,,,,,,,,,,,,,KG
134,1108.13,,ばれいしよでん粉,140円/kg,,,,,,,,,,,,,,,,,
135,,,－ でん粉等に係る共通の限度数量以内のもの,,,(25%),,,,,,,,,,,,,,,
136,,10.0,－－ でん粉糖の製造又はデキストリン、デキストリングルー、可溶性でん粉、ばい焼でん粉若しくはスターチグルーの製造に使用するもの,,◎無税,,,,,,,,,,,,,,,,KG
137,,20.0,－－ その他のもの,,25%,,,,,,,,,,,,,,,,KG
138,,90.0,－ その他のもの,,,119円/kg,,,,,,,,,,,,,,,KG
139,1108.14,,マニオカ（カッサバ）でん粉,140円/kg,,,,,,,,,,,,,,,,,
140,,,－ でん粉等に係る共通の限度数量以内のもの,,,(25%),,,,,,,,,,,,,,,
141,,10.0,－－ でん粉糖の製造又はデキストリン、デキストリングルー、可溶性でん粉、ばい焼でん粉若しくはスターチグルーの製造に使用するもの,,◎無税,,,,,,,,,,,,,,,,KG
142,,20.0,－－ その他のもの,,25%,,,,,,,,,,,,,,,,KG
143,,90.0,－ その他のもの,,,119円/kg,,,,,,,,,,,,,,,KG
144,1108.19,,その他のでん粉,140円/kg,,,,,,,,,,,,,,,,,
145,,,－ サゴでん粉,,,,,,,,,,,,,,,,,,
146,,,－－ でん粉等に係る共通の限度数量以内のもの,,,(25%),,,,,,,,,,,,,,,
147,,11.0,－－－ でん粉糖の製造又はデキストリン、デキストリングルー、可溶性でん粉、ばい焼でん粉若しくはスターチグルーの製造に使用するもの,,◎無税,,,,,,,,,,,,,,,,KG
148,,12.0,－－－ その他のもの,,25%,,,,,,,,,,,,,,,,KG
149,,19.0,－－ その他のもの,,,119円/kg,,,,,,,,,,,,,,,KG
150,,,－ その他のもの,,,,,,,,,,,,,,,,,,
151,,,－－ でん粉等に係る共通の限度数量以内のもの,,,(25%),,,,,,,,,,,,,,,
152,,91.0,－－－ でん粉糖の製造又はデキストリン、デキストリングルー、可溶性でん粉、ばい焼でん粉若しくはスターチグルーの製造に使用するもの,,◎無税,,,,,,,,,,,,,,,,KG
153,,92.0,－－－ その他のもの,,25%,,,,,,,,,,,,,,,,KG
154,,99.0,－－ その他のもの,,,119円/kg,,,,,,,,,,,,,,,KG
155,1108.2,,イヌリン,140円/kg,,,,,,,,,,,,,,,,,
156,,10.0,－ でん粉等に係る共通の限度数量以内のもの,,25%,(25%),,,,,,,,,,,,,,,KG
157,,90.0,－ その他のもの,,,119円/kg,,,,,,,,,,,,,,,KG
158,11.09,,,,,,,,,,,,,,,,,,,,
159,1109.0,0.0,小麦グルテン（乾燥してあるかないかを問わない。）,25%,,21.3%,,無税,,,,,,,,,,,,,KG
0,12.01,,,,,,,,,,,,,,,,,,,,
1,1201.0,,大豆（割つてあるかないかを問わない。）,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,
2,,10.0,－ 黄白色系のもの,,,,,,,,,,,,,,,,,,MT
3,,90.0,－ その他のもの,,,,,,,,,,,,,,,,,,MT
4,12.02,,落花生（いつてないものその他の加熱による調理をしてないものに限るものとし、殻を除いてあるかないか又は割つてあるかないかを問わない。）,,,,,,,,,,,,,,,,,,
5,1202.1,,殻付きのもの,726円/kg,,,,無税,,,,,,,,,,,,,
6,,10.0,－ 採油用のもの（税関の監督の下で採油用の原料として使用するものに限る。）,,,無税,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,MT
7,,,－ その他のもの,,,,,,,,,,,,,,,,,,
8,,91.0,"－－ この号及び第1202.20号に掲げる落花生について、75,000トンを基準とし、当該年度における国内需要見込数量から国内生産見込数量を控除した数量、国際市況その他の条件を勘案して政令で定める数量（以下この項において「共通の限度数量」という。）以内のもの",,10%,(10%),,,,,,,,,,,,,,,MT
9,,99.0,－－ その他のもの,,,617円/kg,,,,,,,,,,,,,,,MT
10,1202.2,,殻を除いたもの（割つてあるかないかを問わない。）,726円/kg,,,,無税,,,,,,,,,,,,,
11,,10.0,－ 採油用のもの（税関の監督の下で採油用の原料として使用するものに限る。）,,,無税,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,MT
12,,,－ その他のもの,,,,,,,,,,,,,,,,,,
13,,91.0,－－ 共通の限度数量以内のもの,,10%,(10%),,,,,,,,,,,,,,,MT
14,,99.0,－－ その他のもの,,,617円/kg,,,,,,,,,,,,,,,MT
15,12.03,,,,,,,,,,,,,,,,,,,,
16,1203.0,0.0,コプラ,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,MT
17,12.04,,,,,,,,,,,,,,,,,,,,
18,1204.0,0.0,亜麻の種（割つてあるかないかを問わない。）,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,MT
19,12.05,,菜種（割つてあるかないかを問わない。）,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,
20,1205.1,0.0,菜種（低エルカ酸のもの）,無税,,(無税),,,,,,,,,,,,,,,MT
21,1205.9,0.0,その他のもの,無税,,(無税),,,,,,,,,,,,,,,MT
22,12.06,,,,,,,,,,,,,,,,,,,,
23,1206.0,0.0,ひまわりの種（割つてあるかないかを問わない。）,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,MT
24,12.07,,その他の採油用の種及び果実（割つてあるかないかを問わない。）,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,
25,1207.2,0.0,綿実,無税,,(無税),,,,,,,,,,,,,,,MT
26,1207.4,0.0,ごま,無税,,(無税),,,,,,,,,,,,,,,MT
27,1207.5,0.0,マスタードの種,無税,,(無税),,,,,,,,,,,,,,,MT
28,,,その他のもの,,,,,,,,,,,,,,,,,,
29,1207.91,0.0,けしの種,無税,,(無税),,,,,,,,,,,,,,,MT
30,1207.99,,その他のもの,無税,,,,,,,,,,,,,,,,,
31,,10.0,－ 大麻の種,,,(無税),,,,,,,,,,,,,,,MT
32,,20.0,－ 油やしの実及びパーム核,,,(無税),,,,,,,,,,,,,,,MT
33,,30.0,－ ひまの種,,,(無税),,,,,,,,,,,,,,,MT
34,,40.0,－ サフラワーの種,,,(無税),,,,,,,,,,,,,,,MT
35,,90.0,－ その他のもの,,,(無税),,,,,,,,,,,,,,,MT
36,12.08,,採油用の種又は果実の粉及びミール（マスタードの粉及びミールを除く。）,,,,,,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,,
37,1208.1,0.0,大豆のもの,7%,,4.2%,無税,,,,,,,,,,,,,,MT
38,1208.9,0.0,その他のもの,7%,,4.2%,無税,,,無税,,,,,,,,,,,MT
39,12.09,,播種用の種、果実及び胞子,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,
40,1209.1,0.0,てん菜の種,無税,,(無税),,,,,,,,,,,,,,,KG
41,,,飼料用植物の種,,,,,,,,,,,,,,,,,,
42,1209.21,0.0,ルーサン（アルファルファ）の種,無税,,(無税),,,,,,,,,,,,,,,KG
43,1209.22,0.0,クローバー（トリフォリウム属のもの）の種,無税,,(無税),,,,,,,,,,,,,,,KG
44,1209.23,0.0,フェスクの種,無税,,(無税),,,,,,,,,,,,,,,KG
45,1209.24,0.0,ケンタッキーブルーグラス（ポア・プラテンスィス）の種,無税,,(無税),,,,,,,,,,,,,,,KG
46,1209.25,0.0,ライグラス（ロリウム・ムルティフロルム及びロリウム・ペレネ）の種,無税,,(無税),,,,,,,,,,,,,,,KG
47,1209.29,,その他のもの,無税,,,,,,,,,,,,,,,,,
48,,10.0,－ チモシーの種,,,(無税),,,,,,,,,,,,,,,KG
49,,90.0,－ その他のもの,,,(無税),,,,,,,,,,,,,,,KG
50,1209.3,0.0,園芸用草花の種,無税,,(無税),,,,,,,,,,,,,,,KG
51,,,その他のもの,,,,,,,,,,,,,,,,,,
52,1209.91,,野菜の種,無税,,(無税),,,,,,,,,,,,,,,
53,,10.0,－ 大根の種,,,,,,,,,,,,,,,,,,KG
54,,90.0,－ その他のもの,,,,,,,,,,,,,,,,,,KG
55,1209.99,0.0,その他のもの,無税,,(無税),,,,,,,,,,,,,,,KG
56,12.1,,ホップ（生鮮のもの及び乾燥したものに限るものとし、粉砕し、粉状にし又はペレット状にしたものであるかないかを問わない。）及びルプリン,,,,,,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,,
57,1210.1,0.0,ホップ（粉砕し、粉状にし又はペレット状にしたものを除く。）,5%,,4.3%,,無税,,,,,,,,,,,,,KG
58,1210.2,,ホップ（粉砕し、粉状にし又はペレット状にしたものに限る。）及びルプリン,5%,,,,無税,,,,,,,,,,,,,
59,,100.0,－ ホップ,,,4.3%,,,,,,,,,,,,,,,KG
60,,200.0,－ ルプリン,,,3%,,,,,,,,,,,,,,,KG
61,12.11,,主として香料用、医療用、殺虫用、殺菌用その他これらに類する用途に供する植物及びその部分（種及び果実を含み、生鮮のもの及び乾燥したものに限るものとし、切り、砕き又は粉状にしたものであるかないかを問わない。）,,,,,,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,,
62,1211.2,0.0,おたねにんじん,5%,,4.3%,,無税,,,,,,,,,,,,,KG
63,1211.3,0.0,コカ葉,無税,,(無税),,,,無税,,,,,,,,,,,KG
64,1211.4,0.0,けしがら,5%,,3%,,無税,,,,,,,,,,,,,KG
65,1211.9,,その他のもの,,,,,,,,,,,,,,,,,,
