,Unnamed: 0,統計番号Statistical code,統計番号Statistical code.1,品名Description,関税率Tariff rate,関税率Tariff rate.1,関税率Tariff rate.2,関税率Tariff rate.3,関税率Tariff rate.4,関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA).1,関税率（経済連携協定）Tariff rate (EPA).2,関税率（経済連携協定）Tariff rate (EPA).3,関税率（経済連携協定）Tariff rate (EPA).4,関税率（経済連携協定）Tariff rate (EPA).5,関税率（経済連携協定）Tariff rate (EPA).6,関税率（経済連携協定）Tariff rate (EPA).7,関税率（経済連携協定）Tariff rate (EPA).8,関税率（経済連携協定）Tariff rate (EPA).9,関税率（経済連携協定）Tariff rate (EPA).10,関税率（経済連携協定）Tariff rate (EPA).11,関税率（経済連携協定）Tariff rate (EPA).12,関税率（経済連携協定）Tariff rate (EPA).13,関税率（経済連携協定）Tariff rate (EPA).14,関税率（経済連携協定）Tariff rate (EPA).15,関税率（経済連携協定）Tariff rate (EPA).16,関税率（経済連携協定）Tariff rate (EPA).17,関税率（経済連携協定）Tariff rate (EPA).18,関税率（経済連携協定）Tariff rate (EPA).19,関税率（経済連携協定）Tariff rate (EPA).20,関税率Tariff rate.5,単位Unit,単位Unit.1,他法令Law,関税率（経済連携協定）Tariff rate (EPA).21,関税率（経済連携協定）Tariff rate (EPA).22,関税率（経済連携協定）Tariff rate (EPA).23
18721,47.0,,220.0,B その他のもの,11.2%,,10.5%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,9.5%,9.5%,9.5%,,,KG,FD,,,
3734,47.0,,241.0,－ 各成分のうち砂糖の重量が最大のもの,,,21%,,,,,,,,,,21%,,,,,,,,11.4%,11.5%,11.5%,21%,,,11.4%,,KG,FD,,,
19217,47.0,,241.0,－ 各成分のうち砂糖の重量が最大のもの,,,21%,,,,,,,,,,21%,,,,,,,,13.3%,13.4%,13.4%,21%,,,13.3%,,KG,FD,,,
325,48.0,302.21,0.0,ハリバット（レインハルドティウス・ヒポグロソイデス、ヒポグロスス・ヒポグロスス及びヒポグロスス・ステノレピス）,5%,,3.5%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,無税,無税,無税,無税,1.3%,無税,無税,無税,2.9%,2.9%,2.9%,,,KG,IQILJKTKFD,,,
15808,48.0,302.21,0.0,ハリバット（レインハルドティウス・ヒポグロソイデス、ヒポグロスス・ヒポグロスス及びヒポグロスス・ステノレピス）,5%,,3.5%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,無税,無税,無税,無税,1.6%,無税,無税,無税,3.2%,3.2%,3.2%,,,KG,IQILJKTKFD,,,
6082,48.0,3808.94,0.0,消毒剤,4.9%,,3.9%,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,3.2%,3.2%,3.2%,,,KG,ILTKPDPACR,,,
21565,48.0,3808.94,0.0,消毒剤,4.9%,,3.9%,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,3.5%,3.5%,3.5%,,,KG,ILTKPDPACR,,,
9309,48.0,5508.1,0.0,合成繊維の短繊維のもの,8%,,6.6%,5.28%,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,5.4%,無税,,,KG,,,,
24792,48.0,5508.1,0.0,合成繊維の短繊維のもの,8%,,6.6%,5.28%,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,6%,無税,,,KG,,,,
1426,48.0,709.4,0.0,セルリー（セルリアクを除く。）,5%,,3%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,2.6%,2.6%,2.6%,無税,,KG,FDPL,,,
16909,48.0,709.4,0.0,セルリー（セルリアクを除く。）,5%,,3%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,2.8%,2.8%,2.8%,無税,,KG,FDPL,,,
13076,48.0,8311.2,0.0,卑金属製の線（しんに充てんしたもので電気アーク溶接に使用するものに限る。）,3.9%,,3.3%,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,2.7%,2.7%,2.7%,,,KG,,,,
28561,48.0,8311.2,0.0,卑金属製の線（しんに充てんしたもので電気アーク溶接に使用するものに限る。）,3.9%,,3.3%,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,3%,3%,3%,,,KG,,,,
6302,48.0,,10.0,－ 塊（不規則な形のものに限る。）、粉（モールディングパウダーを含む。）、粒、フレークその他これらに類する形状のもの,,,,1.12%,無税,スルホマー（INN）　無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,INN対象品目　無税 その他のもの　1%,無税,無税,無税,無税,,,,,KG,ILCR,,,
21785,48.0,,10.0,－ 塊（不規則な形のものに限る。）、粉（モールディングパウダーを含む。）、粒、フレークその他これらに類する形状のもの,,,,1.12%,無税,スルホマー（INN）　無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,INN対象品目　無税 その他のもの　1.3%,無税,無税,無税,無税,,,,,KG,ILCR,,,
10995,48.0,,100.0,1 亜麻製のもの,9.6%,,7.9%,6.32%,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,6.9%,7.4%,,DZ,KG,,,,
26480,48.0,,100.0,1 亜麻製のもの,9.6%,,7.9%,6.32%,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,7.4%,7.7%,,DZ,KG,,,,
4021,48.0,,110.0,－ 飼料用ビタミン調製品,,,,,,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,2.6%,2.6%,2.6%,無税,,KG,ILJKPAPLAN,,,
19504,48.0,,110.0,－ 飼料用ビタミン調製品,,,,,,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,2.8%,2.8%,2.8%,無税,,KG,ILJKPAPLAN,,,
4892,48.0,,20.0,"－ 1,2-ジフルオロエタン（HFC-152）",,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,2.5%,2.5%,,,KG,IQILJKPDCRGA,,,
20375,48.0,,20.0,"－ 1,2-ジフルオロエタン（HFC-152）",,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,2.8%,2.8%,,,KG,IQILJKPDCRGA,,,
8215,48.0,,21.0,－－ 漂白してないもの（マーセライズしたものを除く。）,,,2.3%又は17円/kgのうちいずれか高い税率,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,1.9%又は13.91円/kgのうちいずれか高い税率,無税,,,KG,,,,
23698,48.0,,21.0,－－ 漂白してないもの（マーセライズしたものを除く。）,,,2.3%又は17円/kgのうちいずれか高い税率,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,2.1%又は15.45円/kgのうちいずれか高い税率,無税,,,KG,,,,
7068,48.0,,210.0,－ 野球用のもの,,,,,,,,,,,,,12.5%,,,,,,,,8.5%,8.6%,8.6%,12.5%,,,,DZ,KG,WA,,,
22551,48.0,,210.0,－ 野球用のもの,,,,,,,,,,,,,12.5%,,,,,,,,9.3%,9.4%,9.4%,12.5%,,,,DZ,KG,WA,,,
18420,48.0,,220.0,(2)その他のもの,25%,,21.3%,12.5%,無税,1.3%,,無税,,,,,21.3%,,,,,,10.7%,13.3%,7.1%,7.1%,7.1%,20%,20%,,,,KG,FD,,,
2937,48.0,,220.0,(2)その他のもの,25%,,21.3%,12.5%,無税,無税,,無税,,,,,21.3%,,,,,,9.3%,12%,3.5%,3.6%,3.6%,18.6%,18.6%,,,,KG,FD,,,
19218,48.0,,242.0,－ その他のもの,,,16.8%,,,,,,,,,,16.8%,,,,,,,,10.6%,10.7%,10.7%,16.8%,,,10.6%,,KG,FD,,,
3735,48.0,,242.0,－ その他のもの,,,16.8%,,,,,,,,,,16.8%,,,,,,,,9.1%,9.2%,9.2%,16.8%,,,9.1%,,KG,FD,,,
130,48.0,,31.0,－ 課税価格が1キログラムにつき、299円25銭未満のもの,,,,,,,,,,,,,,,,,,,関税割当数量以内のもの　401.65円/kg-課税価格/kg,,（393円×1.012-課税価格）/kg又は52.50円/kgのうちいずれか低い税率,（393円×1.012-課税価格）/kg又は52.50円/kgのうちいずれか低い税率,（393円×1.012-課税価格）/kg又は52.50円/kgのうちいずれか低い税率,,,,（393円×1.012-課税価格）/kg又は52.50円/kgのうちいずれか低い税率,,KG,,,,
15613,48.0,,31.0,－ 課税価格が1キログラムにつき、299円25銭未満のもの,,,,,,,,,,,,,,,,,,,関税割当数量以内のもの　401.65円/kg-課税価格/kg,,（393円×1.014-課税価格）/kg又は93.75円/kgのうちいずれか低い税率,（393円×1.014-課税価格）/kg又は93.75円/kgのうちいずれか低い税率,（393円×1.014-課税価格）/kg又は93.75円/kgのうちいずれか低い税率,,,,（393円×1.014-課税価格）/kg又は93.75円/kgのうちいずれか低い税率,,KG,,,,
326,49.0,302.22,0.0,プレイス（プレウロネクテス・プラテスサ）,5%,,3.5%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,無税,無税,無税,無税,1.3%,無税,無税,無税,2.9%,2.9%,2.9%,,,KG,IQILJKTKFD,,,
15809,49.0,302.22,0.0,プレイス（プレウロネクテス・プラテスサ）,5%,,3.5%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,無税,無税,無税,無税,1.6%,無税,無税,無税,3.2%,3.2%,3.2%,,,KG,IQILJKTKFD,,,
6083,49.0,3808.99,0.0,その他のもの,4.9%,,3.9%,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,3.2%,3.2%,3.2%,,,KG,ILTKPDPACR,,,
21566,49.0,3808.99,0.0,その他のもの,4.9%,,3.9%,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,3.5%,3.5%,3.5%,,,KG,ILTKPDPACR,,,
9937,49.0,5704.1,0.0,タイル（表面積が0.3平方メートル以下のものに限る。）,9%,,7.4%,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,6.1%,無税,,SM,KG,CR,,,
25420,49.0,5704.1,0.0,タイル（表面積が0.3平方メートル以下のものに限る。）,9%,,7.4%,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,6.7%,無税,,SM,KG,CR,,,
25869,49.0,6104.41,0.0,羊毛製又は繊獣毛製のもの,10.9%,,(10.9%),,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,ししゅうしたもの、レースを使用したもの及び模様編みの組織を有するもの　10.2% その他のもの　無税,10.2%,10.2%,,NO,KG,,,,
10386,49.0,6104.41,0.0,羊毛製又は繊獣毛製のもの,10.9%,,(10.9%),,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,ししゅうしたもの、レースを使用したもの及び模様編みの組織を有するもの　9.5% その他のもの　無税,9.5%,9.5%,,NO,KG,,,,
11455,49.0,6913.9,0.0,その他のもの,3.4%,,2.3%,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,1.9%,1.9%,,,KG,,,,
26940,49.0,6913.9,0.0,その他のもの,3.4%,,2.3%,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,2.1%,2.1%,,,KG,,,,
12730,49.0,7610.9,0.0,その他のもの,4.1%,,3%,2.4%,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,2.5%,2.5%,,,KG,,,,
28215,49.0,7610.9,0.0,その他のもの,4.1%,,3%,2.4%,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,2.7%,2.7%,,,KG,,,,
10639,49.0,,100.0,1 毛皮付きのもの,16%,,12.8%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,10.5%,11.2%,,NO,KG,CR,,,
26124,49.0,,100.0,1 毛皮付きのもの,16%,,12.8%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,11.6%,12%,,NO,KG,CR,,,
4022,49.0,,190.0,－ その他のもの,,,,,,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,2.6%,2.6%,2.6%,無税,,KG,ILJKPAPLAN,,,
19505,49.0,,190.0,－ その他のもの,,,,,,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,2.8%,2.8%,2.8%,無税,,KG,ILJKPAPLAN,,,
15396,49.0,,200.0,2 その他のもの,6.6%,,5.4%,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,4.4%,無税,,,NO,WA,,,
30881,49.0,,200.0,2 その他のもの,6.6%,,5.4%,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,4.9%,無税,,,NO,WA,,,
8216,49.0,,22.0,－－ その他のもの,,,1.9%又は13円/kgのうちいずれか高い税率,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,1.6%又は10.64円/kgのうちいずれか高い税率,無税,,,KG,,,,
23699,49.0,,22.0,－－ その他のもの,,,1.9%又は13円/kgのうちいずれか高い税率,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,1.7%又は11.82円/kgのうちいずれか高い税率,無税,,,KG,,,,
19219,49.0,,246.0,(b)その他のもの,(35%),※1%,(29.8%),,無税,,,,,,,,※1%,,,,,,,,関税割当数量以内のもの　無税 関税割当数量以外のもの　※1%,関税割当数量以内のもの　無税,特恵輸入対象のもの　無税,29.8%,,,,,KG,SPFD,,,
3736,49.0,,246.0,(b)その他のもの,(35%),※1%,(29.8%),,無税,,,,,,,,（29.8%）,,,,,,,,関税割当数量以内のもの　無税 関税割当数量以外のもの　※1%,関税割当数量以内のもの　無税,特恵輸入対象のもの　無税,（29.8%）,,,,,KG,SPFD,,,
10155,49.0,,29.0,(2)その他のもの,4.2%,,2.8%,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,2.5%,2.5%,2.5%,,,KG,,,,
25638,49.0,,29.0,(2)その他のもの,4.2%,,2.8%,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,2.6%,2.6%,2.6%,,,KG,,,,
7069,49.0,,290.0,－ その他のもの,,,,,,,無税,,,,,,12.5%,,,,,,,,8.5%,8.6%,8.6%,12.5%,,,,DZ,KG,WA,,,
22552,49.0,,290.0,－ その他のもの,,,,,,,無税,,,,,,12.5%,,,,,,,,9.3%,9.4%,9.4%,12.5%,,,,DZ,KG,WA,,,
2856,49.0,,290.0,－ 人造はちみつ,,,,,,,,,,,,,,,,,,,,,27.2%又は13.64円/kgのうちいずれか高い税率,27.3%又は13.64円/kgのうちいずれか高い税率,27.3%又は13.64円/kgのうちいずれか高い税率,,,,27.2%又は13.64円/kgのうちいずれか高い税率,,KG,PASPFD,,,
18339,49.0,,290.0,－ 人造はちみつ,,,,,,,,,,,,,,,,,,,,,31.8%又は15.91円/kgのうちいずれか高い税率,31.8%又は15.91円/kgのうちいずれか高い税率,31.8%又は15.91円/kgのうちいずれか高い税率,,,,31.8%又は15.91円/kgのうちいずれか高い税率,,KG,PASPFD,,,
8032,49.0,,31.0,－－－－－ 紋織りのもの,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,8.8%,8.8%,,SM,KG,,,,
23515,49.0,,31.0,－－－－－ 紋織りのもの,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,9.4%,9.4%,,SM,KG,,,,
131,49.0,,32.0,－ 課税価格が1キログラムにつき、299円25銭以上のもの,,,,,,,,,,,,,,,,,,,関税割当数量以内のもの　401.65円/kg-課税価格/kg,,（393円×1.012-課税価格）/kg又は52.50円/kgのうちいずれか低い税率,（393円×1.012-課税価格）/kg又は52.50円/kgのうちいずれか低い税率,（393円×1.012-課税価格）/kg又は52.50円/kgのうちいずれか低い税率,,,,（393円×1.012-課税価格）/kg又は52.50円/kgのうちいずれか低い税率,,KG,,,,
15614,49.0,,32.0,－ 課税価格が1キログラムにつき、299円25銭以上のもの,,,,,,,,,,,,,,,,,,,関税割当数量以内のもの　401.65円/kg-課税価格/kg,,（393円×1.014-課税価格）/kg又は93.75円/kgのうちいずれか低い税率,（393円×1.014-課税価格）/kg又は93.75円/kgのうちいずれか低い税率,（393円×1.014-課税価格）/kg又は93.75円/kgのうちいずれか低い税率,,,,（393円×1.014-課税価格）/kg又は93.75円/kgのうちいずれか低い税率,,KG,,,,
6303,49.0,,90.0,－ その他のもの,,,,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,INN対象品目　無税 その他のもの　1%,無税,無税,無税,2.5%,2.5%,2.5%,,,KG,ILCR,,,
21786,49.0,,90.0,－ その他のもの,,,,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,INN対象品目　無税 その他のもの　1.3%,無税,無税,無税,2.6%,2.6%,2.6%,,,KG,ILCR,,,
10996,49.0,,900.0,2 その他のもの,6.4%,,5.3%,4.24%,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,4.6%,4.6%,,DZ,KG,,,,
26481,49.0,,900.0,2 その他のもの,6.4%,,5.3%,4.24%,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,5%,5%,,DZ,KG,,,,
2252,50.0,1208.9,0.0,その他のもの,7%,,4.2%,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,3.7%,3.7%,3.7%,無税,,MT,FD,,,
17735,50.0,1208.9,0.0,その他のもの,7%,,4.2%,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,3.9%,3.9%,3.9%,無税,,MT,FD,,,
327,50.0,302.23,0.0,ソール（ソレア属のもの）,5%,,3.5%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,無税,無税,無税,無税,1.3%,無税,無税,無税,2.9%,2.9%,2.9%,,,KG,IQILJKTKFD,,,
15810,50.0,302.23,0.0,ソール（ソレア属のもの）,5%,,3.5%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,無税,無税,無税,無税,1.6%,無税,無税,無税,3.2%,3.2%,3.2%,,,KG,IQILJKTKFD,,,
9938,50.0,5704.2,0.0,タイル（表面積が0.3平方メートルを超え1平方メートル以下のものに限る。）,9%,,7.4%,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,6.1%,無税,,SM,KG,CR,,,
25421,50.0,5704.2,0.0,タイル（表面積が0.3平方メートルを超え1平方メートル以下のものに限る。）,9%,,7.4%,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,6.7%,無税,,SM,KG,CR,,,
25870,50.0,6104.42,0.0,綿製のもの,10.9%,,(10.9%),,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,10.2%,10.2%,,NO,KG,,,,
10387,50.0,6104.42,0.0,綿製のもの,10.9%,,(10.9%),,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,9.5%,9.5%,,NO,KG,,,,
10217,50.0,,10.0,1 模様編みの組織を有するもの,15.7%,,9.8%,7.84%,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,8%,無税,,,KG,,,,
25700,50.0,,10.0,1 模様編みの組織を有するもの,15.7%,,9.8%,7.84%,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,8.9%,無税,,,KG,,,,
1652,50.0,,100.0,(1)毎年4月1日から同年9月30日までに輸入されるもの,40%,,20%,10%,無税,,無税,関税割当数量以内のもの　無税 その他のもの　10%,,関税割当数量以内のもの　無税 その他のもの　10%,関税割当数量以内のもの　無税 その他のもの　10%,,10%,イナバニコ種、ラカタン種、ラトゥンダン種、モラド種、ピトゴ種、サバ種又はセニョリタ種のバナナである旨がフィリピン政府により証明されているもの　無税 その他のもの　8%,,,,無税,毎年4月1日から同年8月31日までに輸入されるもの　3.6%,7.3%,10.9%,10.9%,10.9%,,,,,,KG,FDPL,,,
17135,50.0,,100.0,(1)毎年4月1日から同年9月30日までに輸入されるもの,40%,,20%,10%,無税,,無税,関税割当数量以内のもの　無税 その他のもの　10%,,関税割当数量以内のもの　無税 その他のもの　10%,関税割当数量以内のもの　無税 その他のもの　10%,,10%,イナバニコ種、ラカタン種、ラトゥンダン種、モラド種、ピトゴ種、サバ種又はセニョリタ種のバナナである旨がフィリピン政府により証明されているもの　無税 その他のもの　8%,,,,無税,毎年4月1日から同年8月31日までに輸入されるもの　5.5%,9.1%,12.7%,12.7%,12.7%,,,,,,KG,FDPL,,,
2939,50.0,,100.0,1 チョコレート菓子,10%,,(10%),,無税,,,,,,,,10%,,関税割当数量以内のもの　8%,,,,8.4%,,関税割当数量以内のもの　無税 関税割当数量以外のもの　10%,5.5%,5.5%,10%,,,,,KG,FD,,,
18422,50.0,,100.0,1 チョコレート菓子,10%,,(10%),,無税,,,,,,,,10%,,関税割当数量以内のもの　8%,,,,8.5%,,関税割当数量以内のもの　無税 関税割当数量以外のもの　10%,6.4%,6.4%,10%,,,,,KG,FD,,,
18724,50.0,,100.0,1 単に加熱による調理をしたもの,10%,,8.5%,,無税,0.5%,,無税,無税,0.5%,1.1%,1.1%,5%,無税,1.6%,1.6%,2.7%,無税,無税,2.1%,無税,無税,無税,5%,,,無税,,KG,FD,,,
3241,50.0,,100.0,1 単に加熱による調理をしたもの,10%,,8.5%,,無税,無税,,無税,無税,無税,0.5%,0.5%,5%,無税,1.1%,1.1%,2.1%,無税,無税,1.1%,無税,無税,無税,5%,,,無税,,KG,FD,,,
1002,50.0,,119.0,－ その他のもの,,31%＋210円/kg,*25.5%＋612円/kg,,,,,,,,,,,,,,,,,,無税～25.5%＋612円/kg又は31%＋210円/kgのうちいずれか低い税率 ◆3,チョコレートの原料として使用するものであって、関税割当数量以内のもの　無税 その他のものであって、関税割当数量以内のもの　30%＋126円/kg,,,,,,,KG,MAFDAN,,,
16485,50.0,,119.0,－ その他のもの,,31%＋210円/kg,*25.5%＋612円/kg,,,,,,,,,,,,,,,,,,無税～25.5%＋612円/kg又は31%＋210円/kgのうちいずれか低い税率 ◆3,チョコレートの原料として使用するものであって、関税割当数量以内のもの　無税 その他のものであって、関税割当数量以内のもの　30%＋147円/kg,,,,,,,KG,MAFDAN,,,
11131,50.0,,12.0,－ その他のもの,,,"30%又は4,300円/足のうちいずれか高い税率",,,,無税,無税,無税,無税,無税,,5%,無税,5%,5%,無税,無税,4.4%,,13%,13.1%,13.1%,21%,21.7%,,,PR,KG,,,,
26616,50.0,,12.0,－ その他のもの,,,"30%又は4,300円/足のうちいずれか高い税率",,,,無税,無税,無税,無税,無税,,5%,無税,5%,5%,無税,無税,6.5%,,15.2%,15.3%,15.3%,22.5%,22.9%,,,PR,KG,,,,
10640,50.0,,200.0,2 その他のもの,11.2%,,9.1%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,8%,8%,8%,,NO,KG,CR,,,
26125,50.0,,200.0,2 その他のもの,11.2%,,9.1%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,8.5%,8.5%,8.5%,,NO,KG,CR,,,
3005,50.0,,219.0,B その他のもの,25%,,21.3%,,無税,,,,,,,,21.3%,,,,,,,,11.6%,11.6%,11.6%,21.3%,,,,,KG,FMFD,,,
18488,50.0,,219.0,B その他のもの,25%,,21.3%,,無税,,,,,,,,21.3%,,,,,,,,13.5%,13.6%,13.6%,21.3%,,,,,KG,FMFD,,,
3737,50.0,,247.0,B その他のもの,25%,,15%,,無税,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,2.7%,5.5%,2.5%,2.5%,2.5%,13.1%,13.1%,,2.5%,,KG,FD,,,
19220,50.0,,247.0,B その他のもの,25%,,15%,,無税,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,4.1%,6.8%,5%,5%,5%,14.1%,14.1%,,5%,,KG,FD,,,
8217,50.0,,29.0,－ 他の繊維を混ぜたもの,,,1.9%又は13円/kgのうちいずれか高い税率,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,1.6%又は10.64円/kgのうちいずれか高い税率,無税,,,KG,,,,
23700,50.0,,29.0,－ 他の繊維を混ぜたもの,,,1.9%又は13円/kgのうちいずれか高い税率,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,1.7%又は11.82円/kgのうちいずれか高い税率,無税,,,KG,,,,
2857,50.0,,300.0,－ カラメル,,,,,,,,,,,,,,,,,,,,,27.2%又は13.64円/kgのうちいずれか高い税率,27.3%又は13.64円/kgのうちいずれか高い税率,27.3%又は13.64円/kgのうちいずれか高い税率,,,,27.2%又は13.64円/kgのうちいずれか高い税率,,KG,PASPFD,,,
18340,50.0,,300.0,－ カラメル,,,,,,,,,,,,,,,,,,,,,31.8%又は15.91円/kgのうちいずれか高い税率,31.8%又は15.91円/kgのうちいずれか高い税率,31.8%又は15.91円/kgのうちいずれか高い税率,,,,31.8%又は15.91円/kgのうちいずれか高い税率,,KG,PASPFD,,,
4894,50.0,,31.0,－－ 噴霧器に充填したもの,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,2.5%,無税,,,KG,IQILJKPDCRGA,,,
20377,50.0,,31.0,－－ 噴霧器に充填したもの,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,2.8%,無税,,,KG,IQILJKPDCRGA,,,
