date,title,link,content
03/16/2020,"Addition of Entities to the Entity List, and Revision of Entry on the Entity List",,"In this rule, the Bureau of Industry and Security (BIS) amends the Export Administration Regulations (EAR) by adding twenty-four entities to the Entity List. These twenty-four entities have been determined by the U.S. Government to be acting contrary to the national security or foreign policy interests of the United States. These entities will be listed on the Entity List under the destinations of the People’s Republic of China (China), Iran, Pakistan, Russia and the United Arab Emirates (U.A.E.). This rule also revises five existing entries on the Entity list, one each under the destinations of France, Iran, Lebanon, Singapore and the United Kingdom."
03/12/2020,Request for Comments on Future Extensions of Temporary General License (TGL),,"The Bureau of Industry and Security (BIS) is requesting comments?on future extensions of a temporary general license under the Export Administration Regulations (EAR).??BIS is requesting these comments to assist the U.S. Government in evaluating whether the temporary general license should continue to be extended, to evaluate whether any other changes may be warranted to the temporary general license, and to identify any alternative authorization or other regulatory provisions that may more effectively address what is being authorized under the temporary general license.??Comments must be received by BIS no later than?March 25, 2020."
03/12/2020,"Temporary General License: Extension of Validity, effective March 10, 2020 BIS Final rule",,"The U.S. Government has decided to extend through May 15, 2020, the temporary general license to Huawei Technologies Co., Ltd. (Huawei) and one hundred and fourteen of its non-U.S. affiliates?on the Entity List. In order to implement this decision, this final rule revises the temporary general license to remove the expiration date of April 1, 2020, and substitute the date of May 15, 2020."
03/06/2020,Amendments to Country Groups for Russia and Yemen Under the Export Administration Regulations (correcting amendment),,"The Bureau of Industry and Security (BIS) publishes this document to correct a final rule published in the?Federal Register?on February 24, 2020 (February 24th rule), in which BIS amended the Export Administration Regulations (EAR) to revise the Country Group designations for the Russian Federation (Russia) and Yemen based on national security and foreign policy concerns, including proliferation-related concerns. This document corrects the final rule to provide an instruction to remove Yemen from Country Group B, as was described in the preamble of the February 24th rule. This correction is effective March 6, 2020 and is applicable on February 24, 2020."
02/24/2020,Amendments to Country Groups for Russia and Yemen Under the Export Administration Regulations,,"In this final rule, the Bureau of Industry and Security (BIS) amends the Export Administration Regulations (EAR) to revise the Country Group designations for the Russian Federation (Russia) and Yemen based on national security and foreign policy concerns, including proliferation-related concerns. This action is intended to facilitate and support accountability in connection with exports and reexports of items to these destinations under the EAR, and is part of a larger effort to restructure and re-align the Country Groups based on the aforementioned interests."
02/18/2020,Temporary General License: Extension of Validity,,"The U.S. Government has decided to extend through April 1, 2020, the temporary general license to Huawei Technologies Co., Ltd. (Huawei) and one hundred and fourteen of its non-U.S. affiliates on the Entity List. In order to implement this decision, this final rule revises the temporary general license to remove the expiration date of February 16, 2020, and substitute the date of April 1, 2020."
01/23/2020,"Control of Firearms, Guns, Ammunition and Related Articles the President Determines No Longer Warrant Control under the United States Munitions List (USML)",,"On May 24, 2018, the Department of Commerce published a proposed rule in conjunction with a Department of State proposed rule to revise Categories I firearms, close assault weapons and combat shotguns), II (guns and armaments), and III (ammunition/ordnance) of the USML and transfer items that no longer warrant control on the USML to the Commerce Control List (CCL). This final rule responds to and adopts changes based on the comments received on the Commerce proposed rule and is being published simultaneously with a final rule by the Department of State that will revise Categories I, II, and III of the USML to describe more precisely the articles warranting continued control on that list. These revisions complete the initial review of the USML that the Department of State began in 2011 and the conforming changes made to the EAR to control these items not warranting control under the International Traffic in Arms Regulations (ITAR)."
01/06/2020,Addition of Software Specially Designed to Automate the Analysis of Geospatial Imagery to the Export Control Classification Number 0Y521 Series,,"In this interim final rule, the Bureau of Industry and Security (BIS) amends the Export Administration Regulations (EAR) to make certain items subject to the EAR and to impose a license requirement for the export and reexport of those items to all destinations, except Canada. Specifically, this rule classifies software specially designed to automate the analysis of geospatial imagery, as specified,?under the Export Control Classification Number (ECCN) 0Y521 series, specifically under ECCN 0D521.???BIS adds this item to the 0Y521 series of ECCNs upon a determination by the Department of Commerce, with the concurrence of the Departments of Defense and State, and other agencies as appropriate, that the items warrant control for export because the items may provide a significant military or intelligence advantage to the United States or because foreign policy reasons justify control, pursuant to the ECCN 0Y521 series procedures."
11/20/2019,Temporary General License: Extension of Validity,,"On May 16, 2019, Huawei Technologies Co., Ltd. (Huawei) and sixty-eight of its non-U.S. affiliates were added to the Entity List. On August 19, 2019, the Bureau of Industry and Security (BIS) added forty-six additional non-U.S. affiliates of Huawei to the Entity List. The Huawei entities were added to the Entity List because they pose a significant risk of involvement in activities contrary to the national security or foreign policy interests of the United States. Those additions to the Entity List imposed a licensing requirement under the Export Administration Regulations (EAR) regarding the export, reexport, or transfer (in-country) of any item subject to the EAR to any of the listed Huawei entities. The Entity List-based licensing requirement applied in addition to any other license requirement applicable under the EAR to the proposed transaction. On May 22, 2019, BIS published a temporary general license, effective May 20, 2019, that?modified the effect of the listing in order to temporarily authorize engagement in certain transactions, involving the export, reexport, or transfer (in-country) of items subject to the EAR to the 69 listed Huawei entities. On August 21, 2019, BIS published an extension of the temporary general license, effective August 19, 2019, that extended the validity of the temporary general license through November 18, 2019, and made changes, including adding to the scope of the temporary general license forty-six additional non-U.S. affiliates of Huawei, effective August 19, 2019. At this time, the U.S. Government has decided to extend the temporary general license through February 16, 2020. In order to implement this decision, this final rule revises the temporary general license to remove the expiration date of November 18, 2019, and substitute the date of February 16, 2020."
11/13/2019,Addition of Certain Entities to the Entity List?,,"In this rule, the Bureau of Industry and Security (BIS) amends the Export Administration???Regulations (EAR) by adding twenty-two entities, under a total of thirty-two entries, to the Entity List. These twenty-two entities have been determined by the U.S. Government to be acting contrary to the national security or foreign policy interests of the United States. These entities will be listed on the Entity List under the destinations of Bahrain, France, Iran, Jordan, Lebanon, Oman, Pakistan, Saudi Arabia, Senegal, Syria, Turkey, the United Arab Emirates (U.A.E.) and the United Kingdom (U.K.). This rule also modifies one existing entry on the Entity List under the destination of Pakistan. Finally, this rule removes three entities from the Entity List; one under the destination of Pakistan, one under the destination of Singapore and one under the destination of the U.A.E.?"
10/21/2019,Restricting Additional Exports and Reexports to Cuba,,"In this final rule, the Bureau of Industry and Security (BIS) amends the Export Administration Regulations (EAR) to further restrict exports and reexports of items to Cuba.??Specifically, this rule amends the Cuba licensing policy in the EAR to establish a general policy of denial for leases of aircraft to Cuban state-owned airlines.??This rule also amends License Exception Aircraft, Vessels and Spacecraft (AVS) to clarify that aircraft and vessels are not eligible for the license exception if they are leased to or chartered by a national of Cuba or a State Sponsor of Terrorism.??Additionally, this rule amends the EAR to establish a general 10-percent?de minimis?level for Cuba.??Finally, this rule revises License Exception Support for the Cuban People (SCP) to make the Cuban government and communist party ineligible for certain donations, removes an authorization for promotional items that generally benefits the Cuban government, and clarifies the scope of telecommunications items that the Cuban government may receive without a license.??BIS is making these amendments to further restrict the Cuban government’s access to items subject to the EAR, thereby supporting the Administration’s national security and foreign policy decision to hold the Cuban regime accountable for its repression of the Cuban people and its support for the Maduro regime in Venezuela; the Cuban regime denies its people fundamental freedoms while keeping Maduro in power using Cuban military intelligence and state security services.??These amendments are consistent with the National Security Presidential Memorandum on Strengthening the Policy of the United States Toward Cuba, signed by the President on June 16, 2017."
10/09/2019,Addition of Certain Entities to the Entity List,,This final rule amends the Export Administration Regulations (EAR) by adding twenty-eight entities to the Entity List.??These twenty-eight entities have been determined by the U.S. Government to be acting contrary to the foreign policy interests of the United States and will be listed on the Entity List under the destination of the People’s Republic of China (China).
08/21/2019,"Addition of Certain Entities to the Entity List and Revision of Entries on the Entity List,?effective August 19, 2019",,"Effective August 19, 2019, Huawei Technologies Co., Ltd. (Huawei) and sixty-eight of its non-U.S. affiliates were added to the Entity List effective May 16, 2019.? Their addition to the Entity List imposed a licensing requirement under the Export Administration Regulations (EAR) regarding the export, reexport, or transfer (in-country) of any item subject to the EAR to any of these sixty-nine listed Huawei entities.? The Bureau of Industry and Security (BIS) is now adding forty-six additional non-U.S. affiliates of Huawei to the Entity List because they also pose a significant risk of involvement in activities contrary to the national security or foreign policy interests of the United States.? Nineteen of these forty-six affiliated entities are being added to the existing entry for Huawei; the other twenty-seven entities are being added under new, separate entries.? This rule also modifies the existing entries for Huawei and three Huawei affiliates in China by moving the three affiliates under the entry for Huawei instead of continuing to list them under separate entries, and by adding one alias and four addresses to the Huawei entry, including the addresses for those three affiliates.? The entries for five other existing entries for Huawei affiliates in China, Belgium, and Brazil are also being modified by this rule. ?"
08/21/2019,"Temporary General License: Extension of Validity, Clarifications to Authorized Transactions, and Changes to Certification Statement Requirements",,"Effective August 19, 2019, the Bureau of Industry and Security (BIS) amended the Export Administration Regulations (EAR) to revise a temporary general license.? On May 16, 2019, Huawei Technologies Co., Ltd. (Huawei) and sixty-eight of its non-U.S. affiliates were added to the Entity List. Their addition to the Entity List imposed a licensing requirement under the EAR regarding the export, reexport, or transfer (in-country) of any item subject to the EAR to any of these 69 listed Huawei entities. The Entity List-based licensing requirement applied in addition to any other license requirement, if any, applicable under the EAR to the transaction in question. On May 22, 2019, BIS published a temporary general license, effective May 20, 2019, that modified the effect of the listing in order to temporarily authorize engagement in certain transactions, involving the export, reexport, or transfer (in-country) of items subject to the EAR to the 69 listed Huawei entities. The U.S. Government has decided to extend the temporary general license through November 18, 2019. In order to implement this decision, this final rule revises the temporary general license to remove the expiration date of August 19, 2019, and substitutes the date of November 18, 2019. This final rule also makes certain clarifying changes to the authorized transactions under the temporary general license to improve public understanding. Lastly, this final rule revises the temporary general license by changing which party to the transaction is required to create the certification statement by requiring that the exporter, reexporter, or transferor obtain a certification statement from the pertinent Huawei listed entity prior to using the temporary general license. Concurrently with the this final rule, BIS is also publishing elsewhere in the August 21 issue of the Federal Register and effective August 19, 2019 the final rule, Addition of Certain Entities to the Entity List and Revision of Entries on the Entity List. This final rule, as a conforming change for the addition of these other non-U.S. affiliates of Huawei to the Entity List, revises the temporary general license to include those additional Huawei affiliates within the scope of the temporary general license."
08/14/2019,"Addition of Certain Entities to the Entity List, Revision of Entries on the Entity List, and Removal of Entities from the Entity List",,"In this rule, the Bureau of Industry and Security (BIS) amends the Export Administration Regulations (EAR) by adding seventeen entities, under a total of nineteen entries, to the Entity List. These seventeen entities have been determined by the U.S. Government to be acting contrary to the national security or foreign policy interests of the United States. These entities will be listed on the Entity List under the destinations of Armenia, Belgium, Canada, the People’s Republic of China (China), Georgia, Hong Kong, Malaysia, the Netherlands, Russia, the United Arab Emirates (U.A.E.), and the United Kingdom (U.K.). This rule also modifies a total of twenty-three entries on the Entity List under the destinations of China, Hong Kong, and Russia. Finally, this rule removes a total of three entities under the destinations of China and the U.A.E. The removals are made in connection with requests for removal that BIS received pursuant to the EAR and a review of information provided in those requests.?"
06/27/2019,Revisions to the Unverified List(UVL),,The Bureau of Industry and Security (BIS) is amending the Export Administration Regulations (EAR) by removing eight (8) persons from the Unverified List (“UVL”) and correcting the name for one (1) person currently listed on the UVL.? The eight persons are removed from the UVL on the basis that BIS was able to verify their bona fides because of an end-use check.
06/24/2019,Addition of Entities to the Entity List and Revision of an Entry on the Entity List,,"In this rule, the Bureau of Industry and Security (BIS) amends the Export Administration Regulations (EAR) by adding five entities to the Entity List.? These five entities have been determined by the U.S. Government to be acting contrary to the national security or foreign policy interests of the United States.? These entities will be listed on the Entity List under the destination of China.? This rule also modifies one entry on the Entity List under the destination of China."
06/05/2019,Restricting the Temporary Sojourn of Aircraft and Vessels to Cuba,,"In this final rule, the Bureau of Industry and Security (BIS) further limits the types of aircraft that are authorized to fly to Cuba and the types of vessels that are authorized to sail to Cuba on temporary sojourn.??Specifically, this rule amends License Exception Aircraft, Vessels and Spacecraft (AVS) in the Export Administration Regulations (EAR) to remove the authorization for the export or reexport to Cuba of most non-commercial aircraft and passenger and recreational vessels on temporary sojourn.??Additionally, this rule amends the licensing policy for exports and reexports to Cuba of aircraft and vessels on temporary sojourn to establish a general policy of denial absent a foreign policy or national security interest as determined by the U.S. Government.??Consequently, private and corporate aircraft, cruise ships, sailboats, fishing boats, and other similar aircraft and vessels generally will be prohibited from going to Cuba.??BIS is making these amendments to support the Administration’s national security and foreign policy decision to restrict non-family travel to Cuba to prevent U.S. funds from enriching the Cuban regime, which continues to repress the Cuban people and provides ongoing support to the Maduro regime in Venezuela.??These amendments are consistent with the National Security Presidential Memorandum on Strengthening the Policy of the United States Toward Cuba. Signed by the President on June 16, 2017."
05/24/2019,Revisions to Country Group Designations for Venezuela and Conforming Changes for License Requirements,,"In this final rule, the Bureau of Industry and Security (BIS) amends the Export Administration Regulations (EAR) to remove Venezuela from Country Group B, which affords favorable treatment for certain exports of National Security-controlled items, and moves Venezuela to Country Group D:1, which lists countries of national security concern. This final rule makes these changes to the EAR to reflect current national security concerns related to Venezuela, e.g., the introduction of foreign military personnel and equipment into Venezuela, and to better protect U.S. national security. The changes in this final rule also better align the Country Group designations for Venezuela with other EAR national security-related provisions that already apply to Venezuela, e.g., the military end-use and end-user controls that apply to certain items for export, reexport, or transfer (in-country) and provisions that are specific to countries subject to U.S. arms embargoes. In addition, this final rule adds Venezuela to Country Groups D:2-4, which list countries of nuclear, chemical and biological weapons, and missile technology concern, respectively."
05/23/2019,Implementation of Certain New Controls on Emerging Technologies Agreed at Wassenaar Arrangement 2018 Plenary,,"The Bureau of Industry and Security maintains, as part of its Export Administration Regulations, the Commerce Control List (CCL), which identifies certain items subject to Department of Commerce’s jurisdiction. This final rule revises the CCL to implement certain changes made to the Wassenaar Arrangement List of Dual-Use Goods and Technologies maintained and agreed to by governments participating in the Wassenaar Arrangement on Export Controls for Conventional Arms and Dual-Use Goods and Technologies (Wassenaar Arrangement, or WA) at the December 2018 WA Plenary meeting. The Wassenaar Arrangement advocates implementation of effective export controls on strategic items with the objective of improving regional and international security and stability. This rule harmonizes the CCL with only the agreements on recently developed or developing technologies not previously controlled that are essential to the national security of the United States and warrant early implementation. The remaining agreements will be implemented in a separate rule. This rule revises (4) ECCNs 3A001, 5A002, 6A001 and 9A004; and adds ECCN 3D005."
05/22/2019,Temporary General License?(final rule),,"Effective May 20, 2019, the Bureau of Industry and Security (BIS) amended the Export Administration Regulations (EAR) to create a 90-day temporary general license that partially restores the licensing requirements and policies under the EAR for exports, reexports, and transfers (in-country) to sixty-nine entities added to the Entity List on May 16, 2019.?"
05/21/2019,Addition of Entities to the Entity List (final rule),,"Effective May 16, 2019, the Bureau of Industry and Security (BIS) amended the Export Administration Regulations (EAR) by adding Huawei Technologies Co., Ltd. (Huawei) to the Entity List. The U.S. Government has determined that there is reasonable cause to believe that Huawei has been involved in activities contrary to the national security or foreign policy interests of the United States. BIS is also adding non-U.S. affiliates of Huawei to the Entity List because those affiliates pose a significant risk of involvement in activities contrary to the national security or foreign policy interests of the United States. Huawei will be listed on the Entity List under the destination of China. This final rule also adds to the Entity List sixty-eight non-U.S. affiliates of Huawei located in twenty-six destinations: Belgium, Bolivia, Brazil, Burma, Canada, Chile, China, Egypt, Germany, Hong Kong, Jamaica, Japan, Jordan, Lebanon, Madagascar, Netherlands, Oman, Pakistan, Paraguay, Qatar, Singapore, Sri Lanka, Switzerland, Taiwan, United Kingdom, and Vietnam.?"
05/14/2019,"Addition of Certain Entities to the Entity List, Revision of an Entry on the Entity List, and Removal of an Entity from the Entity List",,"This final rule amends the Export Administration Regulations (EAR) by adding twelve entities, under a total of sixteen entries, to the Entity List. These twelve entities have been determined by the U.S. Government to be acting contrary to the national security or foreign policy interests of the United States and will be listed on the Entity List under the destinations of China, Hong Kong, Pakistan and the United Arab Emirates. This rule also modifies one existing entry on the Entity List under the destination of the United Arab Emirates. Finally, this rule removes one entity under the destination of the United Arab Emirates. The removal is made in connection with a request for removal that BIS received pursuant to sections of the EAR used for requesting removal or modification of an Entity List entry and a review of information provided in that request.?"
04/11/2019,Revisions to the Unverified List (UVL),,"This final rule adds fifty (50) persons to the UVL by amending Supplement No. 6 to Part 744 of the Export Administration Regulation (EAR) to include their names and addresses.? The fifty persons are added to the UVL on the basis that BIS could not verify their bona fides because an end-use check could not be completed satisfactorily for reasons outside the U.S. Government’s control. The new entries consist of thirty-seven persons located in China, six in Hong Kong, four in the United Arab Emirates, two in Malaysia, and one in Indonesia.? This rule also adds one additional address for one person currently listed on the UVL, Ling Ao Electronic Technology Co. Ltd, a.k.a. Voyage Technology (HK) Co., Ltd., a.k.a. Xuan Qi Technology Co. Ltd., as BIS has determined that this person is receiving exports from the United States at an additional address."
03/08/2019,Request for Public Comments Regarding Review of Commerce Control List for Items Transferred from United States Munitions List Categories IV and XV,,"As part of its work with the National Space Council, the Bureau of Industry and Security, Department of Commerce requests public comment to inform its review of the controls implemented in recent revisions to Categories IV and XV of the United States Munitions List (USML) and the related transfer of items to the Department of Commerce’s Commerce Control List?(CCL).??These items include launch vehicles, guided missiles, ballistic missiles, rockets, torpedoes, bombs, and mines; and spacecraft and related articles.??BIS’s review seeks to ensure that the CCL describes these items clearly, captures those items in normal commercial use, accounts for technological developments, and implements the national security and foreign policy objectives of the United States properly.??Comments must be received by BIS no later than?April 22, 2019."
12/20/2018,Control of Military Electronic Equipment and Other Items the President Determines No Longer Warrant Control Under the United States Munitions List (USML),,The Bureau of Industry and Security (BIS) is amending the Export Administration Regulations (EAR) by correcting two entries (ECCNs 7A005 and 7A105) on the Commerce Control List (CCL) that control Global Navigation Satellite Systems (GNSS) receiving equipment.??It was brought to BIS’ attention that it did not implement controls over items that no longer warrant control under the United States Munitions List (USML) in a previous published rule.??This rule corrects that error.
11/19/2018,Review of Controls for Certain Emerging Technologies,,"The Bureau of Industry and Security (BIS) controls the export of dual-use and less sensitive military items through the Export Administration Regulations (EAR), including the Commerce Control List (CCL). As controls on exports of technology are a key component of the effort to protect sensitive U.S. technology, many sensitive technologies are listed on the CCL, often consistent with the lists maintained by the multilateral export control regimes of which the United States is a member. Certain technologies, however, may not yet be listed on the CCL or controlled multilaterally because they are emerging technologies. As such, they have not yet been evaluated for their national security impacts. This advance notice of proposed rulemaking (ANPRM) seeks public comment on criteria for identifying emerging technologies that are essential to U.S. national security, for example because they have potential conventional weapons, intelligence collection, weapons of mass destruction, or terrorist applications or could provide the United States with a qualitative military or intelligence advantage. Comment on this ANPRM will help inform the interagency process to identify and describe such emerging technologies. This interagency process is anticipated to result in proposed rules for new Export Control Classification Numbers (ECCNs) on the CCL."
10/30/2018,Addition of an Entity to the Entity List.,,"In this rule, the Bureau of Industry and Security (BIS) amends the Export Administration Regulations (EAR) by adding one entity to the Entity List.? The entity that is added to the Entity List has been determined by the U.S. Government to pose a significant risk of becoming involved in activities contrary to the national security or foreign policy interests of the United States.? This entity will be listed under the destination of China."
10/24/2018,Wassenaar Arrangement 2017 Plenary Agreements Implementation (Final Rule).,,"This final rule revises the Commerce Control List (CCL), as well as corresponding parts of the EAR, to implement changes made to the Wassenaar Arrangement List of Dual-Use Goods and Technologies (WA List) maintained and agreed to by governments participating in the Wassenaar Arrangement on Export Controls for Conventional Arms and Dual-Use Goods and Technologies (Wassenaar Arrangement, or WA) at the December 2017 WA Plenary meeting.? This rule revises fifty (54) Export Control Classification Numbers (ECCNs), as well as License Exceptions APR (740.16) and STA (740.20), Regional Stability Controls (742.6), Definitions (Part 772), the WA Sensitive List (Supp. No. 6 to part 774), and the WA Very Sensitive List (Supp. No. 7 to part 774)."
10/23/18,Request for Public Comments Regarding Foreign Disposition of Certain Commodities,,"The Bureau of Industry and Security (BIS) is seeking public comments on the effects and costs that would result if BIS were to amend its regulations to reflect new export authorization requirements regarding electronic waste, including new recordkeeping requirements, reporting requirements, and data elements in the Automated Export System, maintained by the U.S. Census Bureau, to track electronic waste that is exported. Comments from all interested persons are welcome and will help BIS determine the feasibility and cost of implementing a mechanism for tracking and controlling electronic waste exports."
9/26/2018,"Addition of Certain Entities to the Entity List, Revision of an Entry on the Entity List and Removal of an Entity From the Entity List.",,"This final rule amends the Export Administration Regulations (EAR) by adding fourteen entities to the Entity List. These fourteen entities have been determined by the U.S. Government to be acting contrary to the national security or foreign policy interests of the United States and will be listed on the Entity List under the destinations of Belarus, Iran, Russia, and Singapore. This rule also modifies one entry on the Entity List under the destination of the United Arab Emirates. Lastly, this rule removes one entity under the destination of Hong Kong from the Entity List. The removal is made in connection with a request for removal BIS received pursuant to the EAR and a review of information provided in that request."
09/04/2018,"Addition of Certain Persons to the Entity List, Revision of Entries on the Entity List and Removal of Certain Entities From the Entity List.",,"This final rule amends the Export Administration Regulations (EAR) by adding fifteen entities under seventeen entries to the Entity List. These fifteen entities have been determined by the U.S. Government to be acting contrary to the national security or foreign policy interests of the United States and will be listed on the Entity List under the destinations of the People’s Republic of China, Hong Kong, Pakistan, Russia, Saudi Arabia, Turkey, the United Arab Emirates and the United Kingdom. This final rule also modifies two entries on the entity list: one entry under the destination of Hong Kong and one entry under the destination of Russia. Lastly, this final rule removes one entity under the destination of Greece from the Entity List. The removal is the result of a request for removal BIS received pursuant to the EAR and a review of information provided in the removal request."
08/30/2018,Revisions to the Export Administration Regulations Based on the 2017 Missile Technology Control Regime Plenary Agreements.,,"This final rule amends the Export Administration Regulations (EAR) to reflect changes to the Missile Technology Control Regime (MTCR) Annex that were agreed to by MTCR member countries at the October 2017 Plenary in Dublin, Ireland, and the May 2017 Technical Experts Meeting (TEM) in Stockholm, Sweden.? This final rule revises seventeen Export Control Classification Numbers (ECCNs) to implement the changes that were agreed to at the meetings and to better align the missile technology (MT) controls on the Commerce Control List (CCL) with the MTCR Annex."
08/13/2018,Commerce Control List:? Request for Comments Regarding Controls on Certain Spraying or Fogging Systems and “Parts” and “Components” Therefore.,,"In this rule, Through this notice of inquiry, BIS is seeking public comments as part of a review of the effectiveness of its controls on certain spraying and fogging systems, and “parts” and “components” therefor, to ensure that the descriptions of these items on the Commerce Control List (CCL) are clear, do not inadvertently control items in normal commercial use, accurately reflect chemical/biological (CB) related technological capabilities and developments, and are consistent with the principal objective of the Australia Group (AG), which is to ensure that exports of certain chemicals, biological agents, and dual-use chemical and biological manufacturing facilities and equipment, do not contribute to the spread of chemical and biological weapons (CBW).? This notice also requests public comments on potential alternatives to the current controls described in Export Control Classification Number (ECCN) 2B352.i.? Public comments on this notice of inquiry must be received by BIS no later than October 12, 2018."
08/03/2018,Revision of Export and Reexport License Requirements for Republic of South Sudan Under the Export Administration Regulations,,"In this rule, the Bureau of Industry and Security (BIS) is amending the Export Administration Regulations (EAR) to conform to the Department of State’s (State) amendment of February 14, 2018 to the International Traffic in Arms Regulations (ITAR) that placed restrictions on exports of defense articles (and defense services) to the Republic of South Sudan (South Sudan).? The State action reflected a policy determination by the Secretary of State that it was in the best interests of U.S. foreign policy to impose such restrictions.? Consistent with the State action, in this amendment, BIS is updating the EAR to restrict the export and reexport of certain items on the Commerce Control List to South Sudan.? Pursuant to established procedure, BIS adds South Sudan to the list of U.S. embargoed countries under the EAR, a list drawn from the list of arms embargoes in the ITAR and State Federal Register notices, and adopts a restrictive license application review policy consistent with State’s review policy set forth in the ITAR."
08/03/2018,U.S.-India Major Defense Partners: Implementation Under the Export Administration Regulations of India’s Membership in the Wassenaar Arrangement and Addition of India to Country Group A:5,,"In this rule, the Bureau of Industry and Security (BIS) amends the Export Administration Regulations (EAR) to formally recognize and implement India’s membership in the Wassenaar Arrangement (Wassenaar or WA). Further, BIS removes India from Country Group A:6 and places it in Country Group A:5.? This action befits India’s status as a Major Defense Partner and recognizes the country’s membership in three of the four export control regimes: Missile Technology Control Regime (MTCR), WA and Australia Group (AG). This rule is another in the series of rules that implement reforms to which the United States and India mutually agreed to promote global nonproliferation, expand high technology cooperation and trade, and ultimately facilitate India’s full membership in the four multilateral export control regimes (Nuclear Suppliers Group, MTCR, WA, and AG). This rule also makes conforming amendments."
08/01/2018,Addition of Certain Entities; and Modification of Entry on the Entity List.?,,This rule amends the Export Administration Regulations (EAR) by adding forty-four entities (eight entities and thirty-six subordinate institutions) to the Entity List.? The entities that are being added to the Entity List have been determined by the U.S. Government to be acting contrary to the national security or foreign policy interests of the United States.? These entities will be listed on the Entity List under the destination of China.? This rule also modifies one entry under China to provide additional addresses and names for the entity at issue.
06/06/2018,Revisions to the Unverified List (UVL).?,,The Bureau of Industry and Security (BIS) is amending the Export Administration Regulations (EAR) by correcting one (1) address for one (1) person listed on the Unverified List (UVL) and removing an extraneous name from one (1) other entry listed on the UVL.
06/04/2018,Implementation of the February 2017 Australia Group (AG) Intersessional Decisions and the June 2017 AG Plenary Understandings; Addition of India to the AG,,"This final rule amends the EAR to make technical corrections to Supplement No. 7 to part 748 (Authorization Validated End-User (VEU)).? Specifically, this final rule updates Supplement No. 7 to correctly identify eligible ECCN 1C350 items for three PRC validated end-users, consistent with the alphabetical renumbering of items listed under ECCN 1C350.b, .c, or .d in the April 2, 2018 (83 FR 13849), final rule titled “Implementation of the February 2017 Australia Group (AG) Intersessional Decisions and the June 2017 AG Plenary Understandings; Addition of India to the AG.”"
05/24/2018,"Commerce proposed rule, Control of Firearms, Guns, Ammunition and Related Articles the President Determines No Longer Warrant Control under the United States Munitions List (USML) published in the Federal Register on May 24, 2018.",,"This proposed rule describes how articles the President determines no longer warrant control under United States Munitions List (USML) Category I ? Firearms, Close Assault Weapons and Combat Shotguns; Category II ? Guns and Armament; and Category III ? Ammunition/Ordnance would be controlled under the Commerce Control List (CCL). This proposed rule is being published simultaneously with a proposed rule by the Department of State that would revise Categories I, II, and III of the USML to describe more precisely the articles warranting continued control on that list.? Comments on this proposed rule must be received by BIS no later than July 9, 2018."
05/17/2018,Revisions to the Unverified List (UVL),,The Bureau of Industry and Security (BIS) is amending the Export Administration Regulations (EAR) by adding thirty-three (33) persons to the Unverified List (“UVL”) and adding an additional address for one (1) person currently listed on the UVL. The thirty-three persons are being added to the UVL on the basis that BIS could not verify their bona fides because an end-use check could not be completed satisfactorily for reasons outside the U.S. Government’s control. A new address is added for one person as BIS has determined that this person is receiving exports from the United States at an additional address.
04/05/2018,Implementation of the February 2017 Australia Group (AG) Intersessional Decisions and the June 2017 AG Plenary Understandings; Addition of India to the AG,,"This final rule amends the EAR to implement the recommendations presented at the February 2017 Australia Group (AG) Intersessional Implementation Meeting and the June 2017 AG Plenary Implementation Meeting that were adopted by the AG. The following ECCNs are amended to reflect changes to the AG common control lists based on the 2017 AG Intersessional Implementation Meeting: ECCN 2B350 (by adding certain prefabricated repair assemblies, and specially designed components therefor, that are designed for attachment to glass-lined reaction vessels, reactors, storage tanks, containers or receivers controlled by this entry); ECCN 2B351 (by clarifying that toxic gas monitoring equipment includes toxic gas monitors and monitoring systems, as well as their dedicated detecting components); and ECCN 2B352 (by adding certain nucleic acid assemblers and synthesizers to this entry and clarifying how the capacity of certain fermenters should be measured for purposes of determining whether they are controlled under this entry). The following ECCNs are amended to reflect changes to the AG common control lists based on the 2017 AG Plenary Implementation Meeting: ECCN 1C353 (to clarify that genetically modified organisms include organisms in which the nucleic acid sequences have been created or altered by deliberate molecular manipulation and that inactivated organisms containing recoverable nucleic acids are considered to be genetic elements) and ECCN 1C350 (by adding N,N-Diisopropylaminoethanethiol hydrochloride). In addition, this rule corrects several typographical errors in a note to ECCN 1C351 and updates the advance notification requirements in the EAR that apply to certain exports of saxitoxin. Finally, this rule amends the EAR to reflect the addition of India as a participating country in the AG."
04/02/2018,Addition of Certain Persons to the Entity List and Removal of Certain Persons from the Entity List; Correction of License Requirements,,"This final rule amends the Export Administration Regulations (EAR) by adding twenty-three persons to the Entity List.? These twenty-three persons have been determined by the U.S. Government to be acting contrary to the national security or foreign policy interests of the United States and will be listed on the Entity List under the destinations of Pakistan, Singapore and South Sudan. This rule also removes one person under the destination of Ecuador and one person under the destination of the United Arab Emirates (U.A.E.) from the Entity List.? Both removals are the result of requests for removal received by BIS pursuant to the section of the EAR used for requesting removal or modification of an Entity List entry and a review of information provided in the removal requests.? Lastly, this rule corrects the license requirement for twelve entities that were added under the destination of Russia as part of a recent BIS rule.?"
